t,addresses_accumulation_count
2010-01-01,8
2010-01-02,8
2010-01-03,8
2010-01-04,9
2010-01-05,9
2010-01-06,9
2010-01-07,9
2010-01-08,9
2010-01-09,9
2010-01-10,9
2010-01-11,9
2010-01-12,9
2010-01-13,9
2010-01-14,9
2010-01-15,9
2010-01-16,9
2010-01-17,9
2010-01-18,9
2010-01-19,9
2010-01-20,9
2010-01-21,9
2010-01-22,9
2010-01-23,9
2010-01-24,9
2010-01-25,10
2010-01-26,10
2010-01-27,10
2010-01-28,10
2010-01-29,10
2010-01-30,10
2010-01-31,10
2010-02-01,10
2010-02-02,10
2010-02-03,10
2010-02-04,11
2010-02-05,10
2010-02-06,11
2010-02-07,11
2010-02-08,13
2010-02-09,13
2010-02-10,14
2010-02-11,14
2010-02-12,14
2010-02-13,14
2010-02-14,14
2010-02-15,15
2010-02-16,15
2010-02-17,16
2010-02-18,17
2010-02-19,17
2010-02-20,17
2010-02-21,17
2010-02-22,17
2010-02-23,17
2010-02-24,19
2010-02-25,19
2010-02-26,19
2010-02-27,19
2010-02-28,19
2010-03-01,19
2010-03-02,19
2010-03-03,18
2010-03-04,19
2010-03-05,18
2010-03-06,18
2010-03-07,18
2010-03-08,18
2010-03-09,18
2010-03-10,18
2010-03-11,18
2010-03-12,20
2010-03-13,20
2010-03-14,20
2010-03-15,20
2010-03-16,20
2010-03-17,21
2010-03-18,23
2010-03-19,24
2010-03-20,25
2010-03-21,27
2010-03-22,27
2010-03-23,27
2010-03-24,26
2010-03-25,27
2010-03-26,30
2010-03-27,31
2010-03-28,31
2010-03-29,31
2010-03-30,31
2010-03-31,30
2010-04-01,30
2010-04-02,30
2010-04-03,30
2010-04-04,30
2010-04-05,28
2010-04-06,29
2010-04-07,28
2010-04-08,30
2010-04-09,33
2010-04-10,34
2010-04-11,36
2010-04-12,37
2010-04-13,37
2010-04-14,36
2010-04-15,36
2010-04-16,41
2010-04-17,40
2010-04-18,39
2010-04-19,39
2010-04-20,40
2010-04-21,39
2010-04-22,40
2010-04-23,40
2010-04-24,40
2010-04-25,39
2010-04-26,40
2010-04-27,39
2010-04-28,41
2010-04-29,42
2010-04-30,44
2010-05-01,42
2010-05-02,42
2010-05-03,41
2010-05-04,38
2010-05-05,40
2010-05-06,38
2010-05-07,39
2010-05-08,39
2010-05-09,39
2010-05-10,41
2010-05-11,42
2010-05-12,40
2010-05-13,42
2010-05-14,42
2010-05-15,42
2010-05-16,43
2010-05-17,41
2010-05-18,41
2010-05-19,40
2010-05-20,41
2010-05-21,42
2010-05-22,42
2010-05-23,39
2010-05-24,40
2010-05-25,40
2010-05-26,40
2010-05-27,40
2010-05-28,41
2010-05-29,41
2010-05-30,41
2010-05-31,41
2010-06-01,41
2010-06-02,41
2010-06-03,41
2010-06-04,41
2010-06-05,41
2010-06-06,40
2010-06-07,39
2010-06-08,39
2010-06-09,38
2010-06-10,38
2010-06-11,39
2010-06-12,41
2010-06-13,42
2010-06-14,43
2010-06-15,47
2010-06-16,48
2010-06-17,47
2010-06-18,48
2010-06-19,48
2010-06-20,47
2010-06-21,49
2010-06-22,51
2010-06-23,52
2010-06-24,52
2010-06-25,51
2010-06-26,52
2010-06-27,54
2010-06-28,54
2010-06-29,53
2010-06-30,55
2010-07-01,55
2010-07-02,59
2010-07-03,58
2010-07-04,60
2010-07-05,60
2010-07-06,61
2010-07-07,65
2010-07-08,66
2010-07-09,66
2010-07-10,68
2010-07-11,72
2010-07-12,137
2010-07-13,170
2010-07-14,213
2010-07-15,253
2010-07-16,305
2010-07-17,317
2010-07-18,325
2010-07-19,334
2010-07-20,334
2010-07-21,350
2010-07-22,357
2010-07-23,360
2010-07-24,364
2010-07-25,370
2010-07-26,382
2010-07-27,388
2010-07-28,395
2010-07-29,401
2010-07-30,400
2010-07-31,403
2010-08-01,405
2010-08-02,412
2010-08-03,417
2010-08-04,434
2010-08-05,438
2010-08-06,440
2010-08-07,443
2010-08-08,450
2010-08-09,445
2010-08-10,452
2010-08-11,450
2010-08-12,458
2010-08-13,466
2010-08-14,468
2010-08-15,468
2010-08-16,470
2010-08-17,471
2010-08-18,476
2010-08-19,481
2010-08-20,487
2010-08-21,493
2010-08-22,495
2010-08-23,497
2010-08-24,497
2010-08-25,501
2010-08-26,490
2010-08-27,496
2010-08-28,493
2010-08-29,494
2010-08-30,501
2010-08-31,496
2010-09-01,499
2010-09-02,500
2010-09-03,507
2010-09-04,507
2010-09-05,508
2010-09-06,506
2010-09-07,512
2010-09-08,514
2010-09-09,512
2010-09-10,512
2010-09-11,511
2010-09-12,513
2010-09-13,520
2010-09-14,525
2010-09-15,526
2010-09-16,529
2010-09-17,529
2010-09-18,536
2010-09-19,535
2010-09-20,538
2010-09-21,539
2010-09-22,543
2010-09-23,541
2010-09-24,547
2010-09-25,553
2010-09-26,558
2010-09-27,554
2010-09-28,555
2010-09-29,557
2010-09-30,563
2010-10-01,564
