t,addresses_accumulation_balance
2010-01-01,70018.15
2010-01-02,70018.15
2010-01-03,70018.15
2010-01-04,90722.5
2010-01-05,90722.5
2010-01-06,90722.5
2010-01-07,90722.5
2010-01-08,90722.5
2010-01-09,90722.5
2010-01-10,90722.5
2010-01-11,90722.5
2010-01-12,101471.5
2010-01-13,101471.5
2010-01-14,101471.5
2010-01-15,101672.24
2010-01-16,101672.24
2010-01-17,101672.24
2010-01-18,101672.24
2010-01-19,101672.24
2010-01-20,101672.24
2010-01-21,101672.24
2010-01-22,101672.24
2010-01-23,101672.24
2010-01-24,101672.24
2010-01-25,104872.24
2010-01-26,105522.24
2010-01-27,106522.24
2010-01-28,107572.24
2010-01-29,108472.24
2010-01-30,108872.24
2010-01-31,109622.24
2010-02-01,109772.24
2010-02-02,110822.24
2010-02-03,111122.24
2010-02-04,113072.25
2010-02-05,92517.9
2010-02-06,93817.9
2010-02-07,94167.9
2010-02-08,112035.7
2010-02-09,112035.7
2010-02-10,142435.7
2010-02-11,146135.7
2010-02-12,147635.7
2010-02-13,148134.7
2010-02-14,150534.7
2010-02-15,154886.7
2010-02-16,155450.07
2010-02-17,172787.4
2010-02-18,175387.4
2010-02-19,175387.4
2010-02-20,175987.4
2010-02-21,181587.4
2010-02-22,185287.4
2010-02-23,185287.4
2010-02-24,186987.43
2010-02-25,193587.43
2010-02-26,202125.88
2010-02-27,202575.88
2010-02-28,202625.88
2010-03-01,204125.88
2010-03-02,206075.88
2010-03-03,208375.88
2010-03-04,208775.88
2010-03-05,208175.88
2010-03-06,254072.37
2010-03-07,259727.19
2010-03-08,260161.77
2010-03-09,260211.77
2010-03-10,258300.39
2010-03-11,259300.39
2010-03-12,260450.39
2010-03-13,260450.39
2010-03-14,260450.39
2010-03-15,260450.39
2010-03-16,260450.39
2010-03-17,260750.39
2010-03-18,264390.39
2010-03-19,266290.39
2010-03-20,267392.39
2010-03-21,267843.39
2010-03-22,269643.39
2010-03-23,269543.39
2010-03-24,269553.39
2010-03-25,269903.46
2010-03-26,274699.82
2010-03-27,275249.82
2010-03-28,276299.75
2010-03-29,279149.75
2010-03-30,279499.75
2010-03-31,278849.75
2010-04-01,279849.75
2010-04-02,280849.75
2010-04-03,280899.75
2010-04-04,284149.75
2010-04-05,286047.75
2010-04-06,292627.75
2010-04-07,292077.75
2010-04-08,292675.75
2010-04-09,297326.96
2010-04-10,297776.96
2010-04-11,303764.21
2010-04-12,305298.27
2010-04-13,306593.27
2010-04-14,302878.06
2010-04-15,304332.06
2010-04-16,312542.26
2010-04-17,312890.01
2010-04-18,313869.01
2010-04-19,314419.01
2010-04-20,318519.01
2010-04-21,318818.01
2010-04-22,319378.01
2010-04-23,319778.01
2010-04-24,319178.01
2010-04-25,314078.01
2010-04-26,317328.01
2010-04-27,310428.01
2010-04-28,314129.11
2010-04-29,315279.11
2010-04-30,345002.13
2010-05-01,345623.03
2010-05-02,345973.03
2010-05-03,345673.03
2010-05-04,320126.01
2010-05-05,323726.01
2010-05-06,324676.01
2010-05-07,339976.01
2010-05-08,340226.01
2010-05-09,340426.01
2010-05-10,344326.07
2010-05-11,344326.13
2010-05-12,347616.13
2010-05-13,355875.33
2010-05-14,363853.33
2010-05-15,365403.33
2010-05-16,365555.97
2010-05-17,366604.41
2010-05-18,365259.41
2010-05-19,360251.71
2010-05-20,360601.71
2010-05-21,360338.71
2010-05-22,360488.71
2010-05-23,359738.71
2010-05-24,360238.71
2010-05-25,360288.71
2010-05-26,354423.71
2010-05-27,354473.71
2010-05-28,357166.11
2010-05-29,357216.11
2010-05-30,357216.11
2010-05-31,357966.11
2010-06-01,358116.11
2010-06-02,354469.42
2010-06-03,355642.04
2010-06-04,355642.04
2010-06-05,355692.04
2010-06-06,355696.33
2010-06-07,355723.65
2010-06-08,355723.65
2010-06-09,358773.65
2010-06-10,358923.65
2010-06-11,358948.65
2010-06-12,359563.65
2010-06-13,361192.02
2010-06-14,359743.04
2010-06-15,360813.04
2010-06-16,360673.04
2010-06-17,360708.04
2010-06-18,365719.04
2010-06-19,366128.02
2010-06-20,366122.02
2010-06-21,366367.02
2010-06-22,367931.41
2010-06-23,377996.41
2010-06-24,393546.41
2010-06-25,396626.41
2010-06-26,393793.04
2010-06-27,394978.04
2010-06-28,378483.04
2010-06-29,379083.04
2010-06-30,419290.4
2010-07-01,420255.4
2010-07-02,382670.4
2010-07-03,396677.4
2010-07-04,397662.4
2010-07-05,399467.4
2010-07-06,406272.4
2010-07-07,418207.06
2010-07-08,418927.06
2010-07-09,419485.06
2010-07-10,421400.06
2010-07-11,425190.11
2010-07-12,427034.21
2010-07-13,381175.95
2010-07-14,399380.54
2010-07-15,422463.55
2010-07-16,433976.64
2010-07-17,436667.19
2010-07-18,441242.63
2010-07-19,438074.96
2010-07-20,431181.27
2010-07-21,397472.02
2010-07-22,402780.04
2010-07-23,399403.46
2010-07-24,405855.61
2010-07-25,402525.66
2010-07-26,405606.37
2010-07-27,404771.52
2010-07-28,406936.64
2010-07-29,410748.56
2010-07-30,413478.86
2010-07-31,413126.07
2010-08-01,415353.79
2010-08-02,416392.14
2010-08-03,416999.38
2010-08-04,420089.79
2010-08-05,428208.27
2010-08-06,422751.64
2010-08-07,424107.69
2010-08-08,425567.99
2010-08-09,419389.41
2010-08-10,423106.21
2010-08-11,425591.39
2010-08-12,426892.49
2010-08-13,429745.95
2010-08-14,432249.88
2010-08-15,427198.38
2010-08-16,426993.59
2010-08-17,430613.55
2010-08-18,429382.42
2010-08-19,430784.72
2010-08-20,432425.35
2010-08-21,426987.17
2010-08-22,429295.24
2010-08-23,430702.78
2010-08-24,428683.69
2010-08-25,429985.79
