t,blockchain_block_height
2010-01-01,32622
2010-01-02,32747
2010-01-03,32933
2010-01-04,33114
2010-01-05,33312
2010-01-06,33475
2010-01-07,33629
2010-01-08,33782
2010-01-09,33933
2010-01-10,34123
2010-01-11,34282
2010-01-12,34441
2010-01-13,34605
2010-01-14,34748
2010-01-15,34889
2010-01-16,35014
2010-01-17,35145
2010-01-18,35270
2010-01-19,35394
2010-01-20,35552
2010-01-21,35727
2010-01-22,35860
2010-01-23,36020
2010-01-24,36174
2010-01-25,36385
2010-01-26,36580
2010-01-27,36744
2010-01-28,36921
2010-01-29,37118
2010-01-30,37328
2010-01-31,37493
2010-02-01,37677
2010-02-02,37822
2010-02-03,38092
2010-02-04,38321
2010-02-05,38544
2010-02-06,38736
2010-02-07,38953
2010-02-08,39153
2010-02-09,39360
2010-02-10,39528
2010-02-11,39697
2010-02-12,39880
2010-02-13,40112
2010-02-14,40320
2010-02-15,40496
2010-02-16,40691
2010-02-17,40930
2010-02-18,41138
2010-02-19,41330
2010-02-20,41538
2010-02-21,41761
2010-02-22,42021
2010-02-23,42271
2010-02-24,42442
2010-02-25,42596
2010-02-26,42768
2010-02-27,42940
2010-02-28,43096
2010-03-01,43291
2010-03-02,43479
2010-03-03,43631
2010-03-04,43816
2010-03-05,43987
2010-03-06,44164
2010-03-07,44343
2010-03-08,44468
2010-03-09,44614
2010-03-10,44776
2010-03-11,44909
2010-03-12,45030
2010-03-13,45183
2010-03-14,45308
2010-03-15,45443
2010-03-16,45569
2010-03-17,45705
2010-03-18,45845
2010-03-19,45998
2010-03-20,46190
2010-03-21,46373
2010-03-22,46552
2010-03-23,46759
2010-03-24,46930
2010-03-25,47117
2010-03-26,47314
2010-03-27,47492
2010-03-28,47678
2010-03-29,47873
2010-03-30,48088
2010-03-31,48297
2010-04-01,48465
2010-04-02,48621
2010-04-03,48782
2010-04-04,48953
2010-04-05,49106
2010-04-06,49265
2010-04-07,49458
2010-04-08,49641
2010-04-09,49830
2010-04-10,50090
2010-04-11,50313
2010-04-12,50516
2010-04-13,50705
2010-04-14,50885
2010-04-15,51101
2010-04-16,51303
2010-04-17,51524
2010-04-18,51769
2010-04-19,52001
2010-04-20,52206
2010-04-21,52425
2010-04-22,52584
2010-04-23,52734
2010-04-24,52902
2010-04-25,53060
2010-04-26,53224
2010-04-27,53404
2010-04-28,53584
2010-04-29,53731
2010-04-30,53875
2010-05-01,54058
2010-05-02,54213
2010-05-03,54372
2010-05-04,54508
2010-05-05,54645
2010-05-06,54794
2010-05-07,54926
2010-05-08,55080
2010-05-09,55223
2010-05-10,55351
2010-05-11,55462
2010-05-12,55589
2010-05-13,55717
2010-05-14,55840
2010-05-15,55931
2010-05-16,56044
2010-05-17,56187
2010-05-18,56355
2010-05-19,56519
2010-05-20,56722
2010-05-21,56898
2010-05-22,57093
2010-05-23,57304
2010-05-24,57492
2010-05-25,57702
2010-05-26,57925
2010-05-27,58117
2010-05-28,58340
2010-05-29,58524
2010-05-30,58673
2010-05-31,58815
2010-06-01,58950
2010-06-02,59097
2010-06-03,59249
2010-06-04,59374
2010-06-05,59519
2010-06-06,59667
2010-06-07,59824
2010-06-08,59984
2010-06-09,60152
2010-06-10,60312
2010-06-11,60480
2010-06-12,60615
2010-06-13,60788
2010-06-14,60948
2010-06-15,61132
2010-06-16,61274
2010-06-17,61420
2010-06-18,61570
2010-06-19,61720
2010-06-20,61905
2010-06-21,62059
2010-06-22,62215
2010-06-23,62402
2010-06-24,62571
2010-06-25,62721
2010-06-26,62880
2010-06-27,63058
2010-06-28,63210
2010-06-29,63379
2010-06-30,63561
2010-07-01,63773
2010-07-02,63939
2010-07-03,64151
2010-07-04,64317
2010-07-05,64499
2010-07-06,64665
2010-07-07,64821
2010-07-08,64972
2010-07-09,65171
2010-07-10,65369
2010-07-11,65548
2010-07-12,66207
2010-07-13,66899
2010-07-14,67477
2010-07-15,68103
2010-07-16,68606
2010-07-17,68779
2010-07-18,68951
2010-07-19,69125
2010-07-20,69306
2010-07-21,69513
2010-07-22,69689
2010-07-23,69883
2010-07-24,70072
2010-07-25,70303
2010-07-26,70546
2010-07-27,70712
2010-07-28,70871
2010-07-29,71051
2010-07-30,71233
2010-07-31,71436
2010-08-01,71675
2010-08-02,71917
2010-08-03,72144
2010-08-04,72387
2010-08-05,72605
2010-08-06,72752
2010-08-07,72907
2010-08-08,73106
2010-08-09,73296
2010-08-10,73487
2010-08-11,73720
2010-08-12,73937
2010-08-13,74152
2010-08-14,74433
2010-08-15,74640
2010-08-16,74787
2010-08-17,74916
2010-08-18,75049
2010-08-19,75184
2010-08-20,75377
2010-08-21,75550
2010-08-22,75762
2010-08-23,75975
2010-08-24,76190
2010-08-25,76406
2010-08-26,76616
2010-08-27,76787
2010-08-28,76957
2010-08-29,77119
2010-08-30,77268
2010-08-31,77452
2010-09-01,77609
2010-09-02,77765
2010-09-03,77929
2010-09-04,78110
2010-09-05,78275
2010-09-06,78433
2010-09-07,78593
2010-09-08,78758
2010-09-09,78893
2010-09-10,79070
2010-09-11,79230
2010-09-12,79407
2010-09-13,79578
2010-09-14,79781
2010-09-15,79950
2010-09-16,80169
2010-09-17,80377
2010-09-18,80614
2010-09-19,80823
2010-09-20,81026
2010-09-21,81198
2010-09-22,81372
2010-09-23,81606
2010-09-24,81834
2010-09-25,82041
2010-09-26,82246
2010-09-27,82475
2010-09-28,82687
2010-09-29,82851
2010-09-30,82997
2010-10-01,83151
2010-10-02,83251
2010-10-03,83373
2010-10-04,83526
2010-10-05,83652
