t,market_mvrv_more_155,addresses_accumulation_balance,addresses_new_non_zero_count,indicators_sopr_account_based,indicators_sopr_adjusted,transactions_rate,market_mvrv,addresses_accumulation_count,entities_receiving_count,market_marketcap_usd,indicators_nvts,addresses_min_1k_count,indicators_puell_multiple,transactions_transfers_volume_entity_adjusted_sum,entities_net_growth_count,indicators_sopr_more_155,market_price_drawdown_relative,entities_min_1k_count,market_price_realized_usd,market_mvrv_less_155,indicators_net_unrealized_profit_loss_account_based,transactions_transfers_volume_adjusted_sum,indicators_hodled_lost_coins,indicators_sopr,addresses_profit_relative,entities_new_count,market_mvrv_z_score,indicators_mvrv_account_based,transactions_size_sum,entities_profit_relative,transactions_transfers_volume_miners_net,indicators_nupl_more_155_account_based,indicators_liveliness,indicators_liveliness_account_based,transactions_entity_adjusted_count,transactions_count,addresses_min_10k_count,indicators_reserve_risk,indicators_realized_profit,addresses_count,indicators_nupl_more_155,addresses_active_count,market_marketcap_realized_usd,market_price_usd_close,addresses_non_zero_count,indicators_nvt,entities_active_count,indicators_net_unrealized_profit_loss,indicators_sopr_less_155
2010-01-01,,70018.15,134.0,,,2.314814814814815e-05,,8.0,2.0,,,9.0,,6700.0,48.0,,,92.0,0.049510000000007916,,,100.0,1616534.0847374597,,,50.0,,,316.0,,6500.0,,0.00896049735618443,0.009139968493636191,134.0,2.0,4.0,,,32745.0,,4.0,80758.2365000129,,29959.0,,4.0,,
2010-01-02,,70018.15,126.0,,,0.0,,8.0,0.0,,,9.0,,6300.0,37.0,,,96.0,0.04951000000000794,,,0.0,1622842.4896062256,,,37.0,,,,,6300.0,,0.00889062562219022,0.00906868257884556,126.0,0.0,4.0,,,32871.0,,0.0,81067.674000013,,30085.0,,0.0,,
2010-01-03,,70018.15,186.0,,,0.0,,8.0,0.0,,,9.0,,9300.0,61.0,,,97.0,0.04951000000000795,,,0.0,1632198.5034198528,,,61.0,,,,,9300.0,,0.00880639860335648,0.008982768157461291,186.0,0.0,4.0,,,33057.0,,0.0,81528.1170000131,,30271.0,,0.0,,
2010-01-04,,90722.5,183.0,,,2.314814814814815e-05,,9.0,3.0,,,9.0,,29854.35,57.0,,,98.0,0.04951000000000797,,,20804.35,1639507.4117507366,,,59.0,,,9649.0,,5050.0,,0.00980980718663041,0.00998422844896807,183.0,2.0,4.0,,,33240.0,,85.0,81976.18250001321,,30372.0,,5.0,,
2010-01-05,,90722.5,198.0,,,0.0,,9.0,0.0,,,9.0,,9900.0,62.0,,,98.0,0.04951000000000799,,,0.0,1647175.2367689812,,,62.0,,,,,9900.0,,0.0110916238291471,0.011264068754368,198.0,0.0,4.0,,,33438.0,,0.0,82466.3315000133,,30570.0,,0.0,,
2010-01-06,,90722.5,163.0,,,0.0,,9.0,0.0,,,9.0,,8150.0,52.0,,,98.0,0.04951000000000795,,,0.0,1655435.03786491,,,52.0,,,,,8150.0,,0.0109720170480883,0.0111426016616727,163.0,0.0,4.0,,,33601.0,,0.0,82869.8380000133,,30733.0,,0.0,,
2010-01-07,,90722.5,154.0,,,0.0,,9.0,0.0,,,9.0,,7700.0,58.0,,,99.0,0.04951000000000797,,,0.0,1663224.4546331437,,,58.0,,,,,7700.0,,0.0108685967094001,0.011037572781517001,154.0,0.0,4.0,,,33755.0,,0.0,83251.0650000134,,30887.0,,0.0,,
2010-01-08,,90722.5,153.0,,,0.0,,9.0,0.0,,,9.0,,7650.0,60.0,,,101.0,0.049510000000007985,,,0.0,1670958.137889876,,,60.0,,,,,7650.0,,0.0107698322293012,0.0109372721859674,153.0,0.0,4.0,,,33908.0,,0.0,83629.81650001349,,31040.0,,0.0,,
2010-01-09,,90722.5,151.0,,,0.0,,9.0,0.0,,,9.0,,7550.0,60.0,,,103.0,0.049510000000007964,,,0.0,1678590.5222827448,,,60.0,,,,,7550.0,,0.0106733528126689,0.0108392922049298,151.0,0.0,4.0,,,34059.0,,0.0,84003.6170000135,,31191.0,,0.0,,
2010-01-10,,90722.5,190.0,,,0.0,,9.0,0.0,,,9.0,,9500.0,53.0,,,103.0,0.04951000000000797,,,0.0,1688171.1007640278,,,53.0,,,,,9500.0,,0.010566697477419002,0.0107309780496969,190.0,0.0,4.0,,,34249.0,,0.0,84473.9620000136,,31381.0,,0.0,,
2010-01-11,,90722.5,159.0,,,0.0,,9.0,0.0,,,9.0,,7950.0,48.0,,,105.0,0.049510000000007985,,,0.0,1696221.479012101,,,48.0,,,,,7950.0,,0.0104591319242185,0.0106217395324932,159.0,0.0,4.0,,,34408.0,,0.0,84867.5665000137,,31540.0,,0.0,,
2010-01-12,,101471.5,159.0,,,2.314814814814815e-05,,9.0,2.0,,,9.0,,18699.26,33.0,,,106.0,0.04951000000000801,,,10749.0,1703371.461624631,,,33.0,,,24882.0,,-2798.7400000000407,,0.0108754069887749,0.0110272761851163,161.0,2.0,4.0,,,34567.0,,216.0,85261.1710000138,,31485.0,,2.0,,
2010-01-13,,101471.5,166.0,,,2.314814814814815e-05,,9.0,4.0,,,9.0,,8206.0,59.0,,,106.0,0.049510000000008034,,,6.0,1709025.0620880488,,,59.0,,,466.0,,8195.0,,0.0122955198011625,0.012415814578426,166.0,2.0,4.0,,,34733.0,,4.0,85667.1530000139,,31651.0,,4.0,,
2010-01-14,,101471.5,145.0,,,2.314814814814815e-05,,9.0,3.0,,,9.0,,7555.0,47.0,,,109.0,0.049510000000008,,,405.0,1716257.1926994158,,,49.0,,,1296.0,,6750.0,,0.0121976501773198,0.0123103358965525,145.0,2.0,4.0,,,34878.0,,12.0,86021.1495000139,,31787.0,,5.0,,
2010-01-15,,101672.24,141.0,,,1.1574074074074072e-05,,9.0,1.0,,,9.0,,7250.74,39.0,,,110.0,0.049510000000008034,,,200.74,1723346.814636059,,,40.0,,,615.0,,6849.26,,0.0121256436594672,0.0122381724150675,142.0,1.0,4.0,,,35019.0,,6.0,86370.195000014,,31923.0,,2.0,,
2010-01-16,,101672.24,126.0,,,1.1574074074074072e-05,,9.0,1.0,,,9.0,,6501.0,35.0,,,110.0,0.049510000000008,,,251.0,1729675.404044959,,,36.0,,,833.0,,6000.0,,0.0120374673454469,0.0121840066700628,126.0,1.0,4.0,,,35145.0,,7.0,86679.632500014,,32043.0,,2.0,,
2010-01-17,,101672.24,131.0,,,0.0,,9.0,0.0,,,9.0,,6550.0,36.0,,,110.0,0.04951000000000802,,,0.0,1736290.4029395145,,,36.0,,,,,6550.0,,0.011955612052857001,0.0121010835674171,131.0,0.0,4.0,,,35276.0,,0.0,87003.9230000141,,32174.0,,0.0,,
2010-01-18,,101672.24,127.0,,,1.1574074074074072e-05,,9.0,2.0,,,9.0,,6300.0,25.0,,,111.0,0.04951000000000805,,,50.0,1742618.3847508603,,,26.0,,,233.0,,6200.0,,0.0118690228511466,0.0120134380653983,126.0,1.0,4.0,,,35403.0,,3.0,87313.3605000142,,32300.0,,3.0,,
2010-01-19,,101672.24,124.0,,,0.0,,9.0,0.0,,,9.0,,6200.0,12.0,,,113.0,0.04951000000000802,,,0.0,1748891.1290498513,,,12.0,,,,,6200.0,,0.0117863375901391,0.0119297364275131,124.0,0.0,4.0,,,35527.0,,0.0,87620.3225000142,,32424.0,,0.0,,
2010-01-20,,101672.24,158.0,,,0.0,,9.0,0.0,,,9.0,,7900.0,18.0,,,113.0,0.04951000000000805,,,0.0,1756864.1996689504,,,18.0,,,,,7900.0,,0.0116928531100328,0.0118351140497175,158.0,0.0,4.0,,,35685.0,,0.0,88011.4515000143,,32582.0,,0.0,,
2010-01-21,,101672.24,183.0,,,0.00010416666666666667,,9.0,2.0,,,9.0,,9000.0,42.0,,,115.0,0.04951000000000806,,,488.29,1765705.693173027,,,45.0,,,3428.0,,8550.0,,0.0115843634275489,0.0117252918667687,177.0,9.0,4.0,,,35868.0,,12.0,88444.6640000144,,32754.0,,4.0,,
2010-01-22,,101672.24,135.0,,,3.472222222222222e-05,,9.0,3.0,,,9.0,,6900.0,36.0,,,115.0,0.049510000000008034,,,250.0,1772455.2097940606,,,39.0,,,780.0,,6400.0,,0.011485898444516,0.0116256097009406,136.0,3.0,4.0,,,36003.0,,8.0,88773.9055000144,,32884.0,,6.0,,
2010-01-23,,101672.24,161.0,,,2.314814814814815e-05,,9.0,1.0,,,9.0,,8049.0,33.0,,,116.0,0.049510000000008055,,,51.0,1780530.4927911025,,,34.0,,,460.0,,8000.0,,0.0113930802636783,0.0115316546198138,162.0,2.0,4.0,,,36164.0,,4.0,89169.98550001449,,33044.0,,2.0,,
2010-01-24,,101672.24,154.0,,,1.1574074074074072e-05,,9.0,1.0,,,9.0,,7750.0,40.0,,,116.0,0.04951000000000808,,,50.0,1788321.039526026,,,41.0,,,157.0,,7650.0,,0.0112945185757978,0.0114318896090797,155.0,1.0,4.0,,,36318.0,,2.0,89551.2125000146,,33197.0,,2.0,,
2010-01-25,,104872.24,215.0,,,4.629629629629629e-05,,10.0,3.0,,,10.0,,13775.0,44.0,,,118.0,0.04951000000000808,,,3300.0,1798919.5972480052,,,46.0,,,7531.0,,7750.0,,0.0112023320793683,0.0113366861022401,214.0,4.0,4.0,,,36533.0,,61.0,90073.5430000147,,33355.0,,6.0,,
2010-01-26,,105522.24,197.0,,,6.944444444444444e-05,,10.0,4.0,,,10.0,,10499.0,47.0,,,120.0,0.04951000000000809,,,774.0,1808739.457887137,,,48.0,,,2833.0,,9100.0,,0.0111044214826618,0.0112364365546555,199.0,6.0,4.0,,,36730.0,,20.0,90556.26550001481,,33536.0,,6.0,,
2010-01-27,,106522.24,164.0,,,2.314814814814815e-05,,10.0,1.0,,,10.0,,9200.0,40.0,,,120.0,0.04951000000000811,,,1000.0,1817039.3727292744,,,42.0,,,2364.0,,7200.0,,0.011000477491209998,0.0111336247726192,166.0,2.0,4.0,,,36894.0,,21.0,90962.2475000149,,33680.0,,3.0,,
2010-01-28,,107572.24,177.0,,,2.314814814814815e-05,,10.0,1.0,,,10.0,,9900.0,48.0,,,122.0,0.04951000000000807,,,1050.0,1825968.2988413584,,,50.0,,,2479.0,,7800.0,,0.0109049895231254,0.0110369066408497,179.0,2.0,4.0,,,37071.0,,22.0,91400.41100001491,,33836.0,,3.0,,
2010-01-29,,108472.24,198.0,,,4.629629629629629e-05,,10.0,2.0,,,10.0,,10800.0,50.0,,,123.0,0.04951000000000808,,,950.0,1835901.0346440824,,,54.0,,,2381.0,,8900.0,,0.0108025352816175,0.010933122756545002,201.0,4.0,4.0,,,37269.0,,21.0,91888.084500015,,34015.0,,6.0,,
2010-01-30,,108872.24,212.0,,,4.629629629629629e-05,,10.0,3.0,,,11.0,,12200.0,46.0,,,123.0,0.04951000000000809,,,1700.0,1846477.7018941543,,,50.0,,,4133.0,,8800.0,,0.0107006874579257,0.010829850656003998,214.0,4.0,4.0,,,37481.0,,38.0,92407.9395000151,,34194.0,,7.0,,
2010-01-31,,109622.24,166.0,,,2.314814814814815e-05,,10.0,2.0,,,11.0,,9350.0,21.0,,,124.0,0.04951000000000811,,,1100.0,1854712.366079,,,23.0,,,2181.0,,7450.0,,0.0106617773089027,0.0107896485051443,167.0,2.0,4.0,,,37647.0,,20.0,92816.39700001519,,34342.0,,4.0,,
2010-02-01,,109772.24,192.0,,,0.00010416666666666667,,10.0,6.0,,,11.0,,11100.0,26.0,,,125.0,0.049510000000008124,,,2600.0,1863983.285310435,,,33.0,,,3343.0,,8750.0,,0.010572065762283001,0.010698683287074,191.0,9.0,4.0,,,37839.0,,19.0,93271.88900001529,,34517.0,,9.0,,
2010-02-02,,110822.24,145.0,,,1.1574074074074072e-05,,10.0,1.0,,,11.0,,8300.0,34.0,,,124.0,0.04951000000000815,,,1050.0,1871321.6489898646,,,35.0,,,2436.0,,6200.0,,0.0104848113635276,0.0106102815226626,146.0,1.0,4.0,,,37984.0,,22.0,93630.83650001539,,34641.0,,2.0,,
