t,ma128,ma14,ma200,ma25,ma40,ma60,ma9,ma90
2010-01-01,4313378565.960795,4463298907.070131,4306750508.774909,4389232998.199274,4353883359.874546,4334244671.916364,4556816468.775761,4321152213.2775755
2010-01-02,4319515655.947727,4519409444.093509,4310678246.366546,4420654898.932364,4373522047.832727,4347337130.555152,4644099526.36768,4329880519.036768
2010-01-03,4325652745.93466,4575519981.116885,4314605983.958182,4452076799.665456,4393160735.790911,4360429589.19394,4731382583.9595995,4338608824.79596
2010-01-04,4331789835.921591,4631630518.140263,4318533721.549818,4483498700.398547,4412799423.749092,4373522047.832728,4818665641.551519,4347337130.555152
2010-01-05,4337926925.908524,4687741055.16364,4322461459.141455,4514920601.131639,4432438111.7072735,4386614506.471516,4905948699.143439,4356065436.314344
2010-01-06,4344064015.895454,4743851592.1870165,4326389196.73309,4546342501.864729,4452076799.665456,4399706965.110304,4993231756.735359,4364793742.073536
2010-01-07,4350201105.882387,4799962129.210394,4330316934.324728,4577764402.59782,4471715487.623637,4412799423.749091,5080514814.327279,4373522047.832727
2010-01-08,4356338195.869319,4856072666.23377,4334244671.916364,4609186303.330912,4491354175.58182,4425891882.38788,5080514814.327279,4382250353.59192
2010-01-09,4362475285.856251,4912183203.257148,4338172409.508,4640608204.064003,4510992863.540002,4438984341.026668,5080514814.327279,4390978659.351112
2010-01-10,4368612375.843183,4968293740.280524,4342100147.099637,4672030104.797093,4530631551.498183,4452076799.665456,5080514814.327279,4399706965.110304
2010-01-11,4378848562.393445,5061881731.597214,4348651306.491805,4724439379.93444,4563387348.459024,4473913997.63935,5138813076.56132,4414265097.092899
2010-01-12,4389084748.943708,5155469722.913903,4355202465.883973,4776848655.071786,4596143145.419867,4495751195.613244,5197111338.795361,4428823229.075497
2010-01-13,4399320935.493971,5192947177.207215,4361753625.276141,4829257930.209132,4628898942.380708,4517588393.587138,5255409601.029402,4443381361.058092
2010-01-14,4409557122.044234,5230424631.500527,4368304784.66831,4881667205.346478,4661654739.341549,4539425591.561032,5313707863.263444,4457939493.0406885
2010-01-15,4419793308.594497,5267902085.793839,4374855944.060478,4934076480.483825,4694410536.30239,4561262789.534926,5372006125.497485,4472497625.023284
2010-01-16,4430029495.14476,5305379540.0871525,4381407103.452646,4986485755.621171,4727166333.263232,4583099987.5088215,5430304387.731526,4487055757.005881
