t,transactions_entity_adjusted_count
2010-01-01,134
2010-01-02,126
2010-01-03,186
2010-01-04,183
2010-01-05,198
2010-01-06,163
2010-01-07,154
2010-01-08,153
2010-01-09,151
2010-01-10,190
2010-01-11,159
2010-01-12,161
2010-01-13,166
2010-01-14,145
2010-01-15,142
2010-01-16,126
2010-01-17,131
2010-01-18,126
2010-01-19,124
2010-01-20,158
2010-01-21,177
2010-01-22,136
2010-01-23,162
2010-01-24,155
2010-01-25,214
2010-01-26,199
2010-01-27,166
2010-01-28,179
2010-01-29,201
2010-01-30,214
2010-01-31,167
2010-02-01,191
2010-02-02,146
2010-02-03,272
2010-02-04,234
2010-02-05,227
2010-02-06,206
2010-02-07,222
2010-02-08,207
2010-02-09,210
2010-02-10,173
2010-02-11,174
2010-02-12,187
2010-02-13,235
2010-02-14,217
2010-02-15,185
2010-02-16,201
2010-02-17,248
2010-02-18,215
2010-02-19,195
2010-02-20,210
2010-02-21,227
2010-02-22,265
2010-02-23,251
2010-02-24,177
2010-02-25,157
2010-02-26,176
2010-02-27,174
2010-02-28,159
2010-03-01,199
2010-03-02,193
2010-03-03,157
2010-03-04,188
2010-03-05,173
2010-03-06,183
2010-03-07,182
2010-03-08,130
2010-03-09,148
2010-03-10,169
2010-03-11,136
2010-03-12,123
2010-03-13,154
2010-03-14,127
2010-03-15,140
2010-03-16,129
2010-03-17,139
2010-03-18,149
2010-03-19,162
2010-03-20,204
2010-03-21,190
2010-03-22,185
2010-03-23,220
2010-03-24,181
2010-03-25,200
2010-03-26,213
2010-03-27,184
2010-03-28,192
2010-03-29,207
2010-03-30,221
2010-03-31,214
2010-04-01,179
2010-04-02,161
2010-04-03,166
2010-04-04,183
2010-04-05,177
2010-04-06,174
2010-04-07,203
2010-04-08,194
2010-04-09,219
2010-04-10,295
2010-04-11,261
2010-04-12,244
2010-04-13,209
2010-04-14,216
2010-04-15,285
2010-04-16,232
2010-04-17,247
2010-04-18,3270
2010-04-19,271
2010-04-20,237
2010-04-21,245
2010-04-22,188
2010-04-23,200
2010-04-24,193
2010-04-25,194
2010-04-26,208
2010-04-27,216
2010-04-28,224
2010-04-29,174
2010-04-30,167
2010-05-01,210
2010-05-02,179
2010-05-03,184
2010-05-04,166
2010-05-05,160
2010-05-06,169
2010-05-07,155
2010-05-08,177
2010-05-09,173
2010-05-10,155
2010-05-11,127
2010-05-12,150
2010-05-13,157
2010-05-14,149
2010-05-15,107
2010-05-16,132
2010-05-17,175
2010-05-18,205
2010-05-19,196
2010-05-20,232
2010-05-21,221
2010-05-22,223
2010-05-23,307
2010-05-24,246
2010-05-25,250
2010-05-26,281
2010-05-27,256
2010-05-28,273
2010-05-29,232
2010-05-30,198
2010-05-31,192
2010-06-01,179
2010-06-02,193
2010-06-03,228
2010-06-04,172
2010-06-05,186
2010-06-06,196
2010-06-07,204
2010-06-08,223
2010-06-09,217
2010-06-10,213
2010-06-11,231
2010-06-12,197
2010-06-13,233
2010-06-14,244
2010-06-15,260
2010-06-16,187
2010-06-17,203
2010-06-18,184
2010-06-19,207
2010-06-20,225
2010-06-21,224
2010-06-22,223
2010-06-23,250
2010-06-24,239
2010-06-25,203
2010-06-26,198
2010-06-27,234
2010-06-28,225
2010-06-29,246
2010-06-30,270
2010-07-01,278
2010-07-02,225
2010-07-03,282
2010-07-04,219
2010-07-05,241
2010-07-06,207
2010-07-07,210
2010-07-08,220
2010-07-09,265
2010-07-10,238
2010-07-11,344
2010-07-12,2073
2010-07-13,1362
2010-07-14,5782
2010-07-15,1226
2010-07-16,1115
2010-07-17,394
2010-07-18,383
2010-07-19,470
2010-07-20,576
2010-07-21,432
2010-07-22,366
2010-07-23,391
2010-07-24,663
2010-07-25,1782
2010-07-26,443
2010-07-27,386
2010-07-28,327
2010-07-29,329
2010-07-30,320
2010-07-31,295
2010-08-01,355
2010-08-02,389
2010-08-03,625
2010-08-04,431
2010-08-05,489
2010-08-06,342
2010-08-07,261
2010-08-08,376
2010-08-09,388
2010-08-10,334
2010-08-11,397
2010-08-12,374
2010-08-13,406
2010-08-14,427
2010-08-15,307
2010-08-16,410
2010-08-17,290
2010-08-18,335
2010-08-19,282
2010-08-20,374
2010-08-21,309
2010-08-22,341
2010-08-23,352
2010-08-24,360
2010-08-25,349
2010-08-26,347
2010-08-27,285
2010-08-28,300
2010-08-29,248
2010-08-30,296
2010-08-31,421
2010-09-01,347
2010-09-02,300
2010-09-03,295
2010-09-04,268
2010-09-05,286
2010-09-06,272
2010-09-07,266
2010-09-08,300
2010-09-09,270
2010-09-10,305
2010-09-11,279
2010-09-12,356
2010-09-13,369
2010-09-14,392
2010-09-15,402
2010-09-16,412
2010-09-17,339
2010-09-18,368
2010-09-19,346
2010-09-20,403
2010-09-21,520
2010-09-22,506
2010-09-23,552
2010-09-24,462
2010-09-25,395
2010-09-26,365
2010-09-27,499
2010-09-28,408
2010-09-29,769
2010-09-30,332
2010-10-01,506
2010-10-02,418
2010-10-03,344
2010-10-04,378
2010-10-05,334
2010-10-06,360
2010-10-07,304
2010-10-08,326
2010-10-09,364
2010-10-10,334
2010-10-11,304
2010-10-12,312
2010-10-13,341
2010-10-14,332
2010-10-15,310
2010-10-16,424
2010-10-17,438
2010-10-18,511
2010-10-19,682
2010-10-20,533
2010-10-21,433
2010-10-22,426
2010-10-23,403
2010-10-24,460
2010-10-25,380
2010-10-26,454
2010-10-27,465
2010-10-28,431
2010-10-29,430
2010-10-30,383
2010-10-31,295
2010-11-01,322
2010-11-02,279
2010-11-03,319
2010-11-04,323
2010-11-05,382
2010-11-06,362
2010-11-07,418
2010-11-08,489
2010-11-09,375
2010-11-10,380
2010-11-11,362
2010-11-12,280
2010-11-13,334
2010-11-14,407
2010-11-15,1346
2010-11-16,3593
2010-11-17,422
2010-11-18,404
2010-11-19,318
2010-11-20,476
2010-11-21,412
2010-11-22,332
2010-11-23,319
2010-11-24,3770
2010-11-25,1911
2010-11-26,821
2010-11-27,423
