t,transactions_transfers_volume_entity_adjusted_sum
2010-01-01,6700.0
2010-01-02,6300.0
2010-01-03,9300.0
2010-01-04,29854.35
2010-01-05,9900.0
2010-01-06,8150.0
2010-01-07,7700.0
2010-01-08,7650.0
2010-01-09,7550.0
2010-01-10,9500.0
2010-01-11,7950.0
2010-01-12,18699.26
2010-01-13,8206.0
2010-01-14,7555.0
2010-01-15,7250.74
2010-01-16,6501.0
2010-01-17,6550.0
2010-01-18,6300.0
2010-01-19,6200.0
2010-01-20,7900.0
2010-01-21,9000.0
2010-01-22,6900.0
2010-01-23,8049.0
2010-01-24,7750.0
2010-01-25,13775.0
2010-01-26,10499.0
2010-01-27,9200.0
2010-01-28,9900.0
2010-01-29,10800.0
2010-01-30,12200.0
2010-01-31,9350.0
2010-02-01,11100.0
2010-02-02,8300.0
2010-02-03,13800.0
2010-02-04,13450.0
2010-02-05,23317.8
2010-02-06,11700.0
2010-02-07,11300.0
2010-02-08,16002.0
2010-02-09,31200.44
2010-02-10,38700.0
2010-02-11,12150.0
2010-02-12,14800.0
2010-02-13,17799.0
2010-02-14,24266.34
2010-02-15,13349.98
2010-02-16,10513.37
2010-02-17,56684.17
2010-02-18,13250.0
2010-02-19,9650.03
2010-02-20,11050.0
2010-02-21,17416.83
2010-02-22,27300.0
2010-02-23,12550.0
2010-02-24,13850.0
2010-02-25,14800.0
2010-02-26,19500.0
2010-02-27,9050.0
2010-02-28,13050.0
2010-03-01,11350.0
2010-03-02,11400.0
2010-03-03,15800.0
2010-03-04,28600.0
2010-03-05,8700.0
2010-03-06,32596.49
2010-03-07,14650.0
2010-03-08,15295.18
2010-03-09,11350.0
2010-03-10,10650.0
2010-03-11,9850.0
2010-03-12,6400.0
2010-03-13,9450.0
2010-03-14,7800.0
2010-03-15,6852.0
2010-03-16,7501.0
2010-03-17,8050.0
2010-03-18,10870.0
2010-03-19,13996.0
2010-03-20,14065.0
2010-03-21,9602.0
2010-03-22,10900.0
2010-03-23,14329.76
2010-03-24,10300.0
2010-03-25,26400.0
2010-03-26,13847.86
2010-03-27,11476.7
2010-03-28,11450.0
2010-03-29,13200.0
2010-03-30,11300.0
2010-03-31,11923.48
2010-04-01,9800.0
2010-04-02,8800.0
2010-04-03,9750.0
2010-04-04,11955.26
2010-04-05,15004.18
2010-04-06,13018.37
2010-04-07,15003.1
2010-04-08,12183.0
2010-04-09,21603.63
2010-04-10,27304.02
2010-04-11,25292.4
2010-04-12,30750.0
2010-04-13,11810.0
2010-04-14,15132.5
2010-04-15,69034.7
2010-04-16,22958.24
2010-04-17,15023.53
2010-04-18,21641.92
