t,entities_net_growth_count
2010-01-01,48
2010-01-02,37
2010-01-03,61
2010-01-04,57
2010-01-05,62
2010-01-06,52
2010-01-07,58
2010-01-08,60
2010-01-09,60
2010-01-10,53
2010-01-11,48
2010-01-12,33
2010-01-13,59
2010-01-14,47
2010-01-15,39
2010-01-16,35
2010-01-17,36
2010-01-18,25
2010-01-19,12
2010-01-20,18
2010-01-21,42
2010-01-22,36
2010-01-23,33
2010-01-24,40
2010-01-25,44
2010-01-26,47
2010-01-27,40
2010-01-28,48
2010-01-29,50
2010-01-30,46
2010-01-31,21
2010-02-01,26
2010-02-02,34
2010-02-03,69
2010-02-04,60
2010-02-05,51
2010-02-06,35
2010-02-07,33
2010-02-08,51
2010-02-09,53
2010-02-10,40
2010-02-11,50
2010-02-12,44
2010-02-13,52
2010-02-14,54
2010-02-15,51
2010-02-16,46
2010-02-17,54
2010-02-18,59
2010-02-19,53
2010-02-20,43
2010-02-21,70
2010-02-22,88
2010-02-23,57
2010-02-24,54
2010-02-25,57
2010-02-26,61
2010-02-27,48
2010-02-28,40
2010-03-01,54
2010-03-02,49
2010-03-03,42
2010-03-04,66
2010-03-05,61
2010-03-06,54
2010-03-07,52
2010-03-08,40
2010-03-09,48
2010-03-10,46
2010-03-11,32
2010-03-12,41
2010-03-13,44
2010-03-14,36
2010-03-15,48
2010-03-16,36
2010-03-17,45
2010-03-18,48
2010-03-19,58
2010-03-20,46
2010-03-21,58
2010-03-22,61
2010-03-23,60
2010-03-24,52
2010-03-25,68
2010-03-26,58
2010-03-27,48
2010-03-28,56
2010-03-29,59
2010-03-30,62
2010-03-31,59
2010-04-01,49
2010-04-02,49
2010-04-03,60
2010-04-04,45
2010-04-05,46
2010-04-06,56
2010-04-07,62
2010-04-08,61
2010-04-09,69
2010-04-10,58
2010-04-11,49
2010-04-12,37
2010-04-13,44
2010-04-14,59
2010-04-15,63
2010-04-16,63
2010-04-17,65
2010-04-18,78
2010-04-19,64
2010-04-20,54
2010-04-21,59
2010-04-22,47
2010-04-23,40
2010-04-24,55
2010-04-25,41
2010-04-26,38
2010-04-27,49
2010-04-28,58
2010-04-29,42
2010-04-30,48
2010-05-01,76
2010-05-02,37
2010-05-03,46
2010-05-04,25
2010-05-05,29
2010-05-06,28
2010-05-07,13
2010-05-08,15
2010-05-09,12
2010-05-10,19
2010-05-11,19
2010-05-12,18
2010-05-13,22
2010-05-14,24
2010-05-15,12
2010-05-16,14
2010-05-17,13
2010-05-18,21
2010-05-19,31
2010-05-20,49
2010-05-21,21
2010-05-22,56
2010-05-23,25
2010-05-24,26
2010-05-25,55
2010-05-26,47
2010-05-27,56
2010-05-28,56
2010-05-29,30
2010-05-30,21
2010-05-31,15
2010-06-01,25
2010-06-02,30
2010-06-03,28
2010-06-04,28
2010-06-05,22
2010-06-06,31
2010-06-07,30
2010-06-08,27
2010-06-09,54
2010-06-10,30
2010-06-11,54
2010-06-12,16
2010-06-13,19
2010-06-14,30
2010-06-15,50
2010-06-16,29
2010-06-17,19
2010-06-18,31
2010-06-19,31
2010-06-20,62
2010-06-21,27
2010-06-22,30
2010-06-23,54
2010-06-24,39
2010-06-25,41
2010-06-26,39
2010-06-27,48
2010-06-28,51
2010-06-29,39
2010-06-30,38
2010-07-01,41
2010-07-02,30
2010-07-03,45
2010-07-04,42
2010-07-05,29
2010-07-06,55
2010-07-07,55
2010-07-08,40
2010-07-09,53
2010-07-10,79
2010-07-11,123
2010-07-12,1321
2010-07-13,617
2010-07-14,632
2010-07-15,538
2010-07-16,443
2010-07-17,124
2010-07-18,128
2010-07-19,140
2010-07-20,116
2010-07-21,125
2010-07-22,101
2010-07-23,103
2010-07-24,122
2010-07-25,114
2010-07-26,99
2010-07-27,116
2010-07-28,97
2010-07-29,80
2010-07-30,89
2010-07-31,102
2010-08-01,137
2010-08-02,96
2010-08-03,82
2010-08-04,101
2010-08-05,93
2010-08-06,65
2010-08-07,73
2010-08-08,62
2010-08-09,86
2010-08-10,68
2010-08-11,101
2010-08-12,117
2010-08-13,76
2010-08-14,104
2010-08-15,86
2010-08-16,34
2010-08-17,50
2010-08-18,83
2010-08-19,55
2010-08-20,67
2010-08-21,73
2010-08-22,71
2010-08-23,63
2010-08-24,98
2010-08-25,50
2010-08-26,72
2010-08-27,82
2010-08-28,74
2010-08-29,71
2010-08-30,64
2010-08-31,46
2010-09-01,84
2010-09-02,49
2010-09-03,59
2010-09-04,71
2010-09-05,64
2010-09-06,61
2010-09-07,20
2010-09-08,54
2010-09-09,69
2010-09-10,88
2010-09-11,41
2010-09-12,57
2010-09-13,39
2010-09-14,74
2010-09-15,55
2010-09-16,29
2010-09-17,45
2010-09-18,49
2010-09-19,86
2010-09-20,70
2010-09-21,37
2010-09-22,70
2010-09-23,93
2010-09-24,27
2010-09-25,33
2010-09-26,42
2010-09-27,28
2010-09-28,63
2010-09-29,45
2010-09-30,61
2010-10-01,54
2010-10-02,62
2010-10-03,30
2010-10-04,64
2010-10-05,26
2010-10-06,27
2010-10-07,38
2010-10-08,43
2010-10-09,43
2010-10-10,59
2010-10-11,54
2010-10-12,44
2010-10-13,43
2010-10-14,62
2010-10-15,41
2010-10-16,58
2010-10-17,53
2010-10-18,49
2010-10-19,90
2010-10-20,53
2010-10-21,51
2010-10-22,41
2010-10-23,47
2010-10-24,40
2010-10-25,53
2010-10-26,76
2010-10-27,83
2010-10-28,69
2010-10-29,50
2010-10-30,40
2010-10-31,54
2010-11-01,41
2010-11-02,44
2010-11-03,44
2010-11-04,53
2010-11-05,49
2010-11-06,39
2010-11-07,44
2010-11-08,87
2010-11-09,50
2010-11-10,70
2010-11-11,81
2010-11-12,27
2010-11-13,58
2010-11-14,64
2010-11-15,130
2010-11-16,74
2010-11-17,63
2010-11-18,69
2010-11-19,44
2010-11-20,39
2010-11-21,59
2010-11-22,50
2010-11-23,36
2010-11-24,89
2010-11-25,62
2010-11-26,96
2010-11-27,91
2010-11-28,66
2010-11-29,91
2010-11-30,93
2010-12-01,123
2010-12-02,100
2010-12-03,84
2010-12-04,97
2010-12-05,86
2010-12-06,75
2010-12-07,134
2010-12-08,138
2010-12-09,82
2010-12-10,88
2010-12-11,197
2010-12-12,269
2010-12-13,269
2010-12-14,189
2010-12-15,130
2010-12-16,100
2010-12-17,101
2010-12-18,127
2010-12-19,158
2010-12-20,92
2010-12-21,97
2010-12-22,89
2010-12-23,114
2010-12-24,69
2010-12-25,96
2010-12-26,79
2010-12-27,88
2010-12-28,85
2010-12-29,87
2010-12-30,100
2010-12-31,69
2011-01-01,62
2011-01-02,47
2011-01-03,68
2011-01-04,89
2011-01-05,84
2011-01-06,59
2011-01-07,61
2011-01-08,78
2011-01-09,36
2011-01-10,106
2011-01-11,39
2011-01-12,87
2011-01-13,59
2011-01-14,67
2011-01-15,80
2011-01-16,58
2011-01-17,86
2011-01-18,69
2011-01-19,86
2011-01-20,33
2011-01-21,129
2011-01-22,110
2011-01-23,111
2011-01-24,95
2011-01-25,65
2011-01-26,79
2011-01-27,76
2011-01-28,81
2011-01-29,27
2011-01-30,83
2011-01-31,132
2011-02-01,38
2011-02-02,29
2011-02-03,24
2011-02-04,43
2011-02-05,50
2011-02-06,21
2011-02-07,51
2011-02-08,52
2011-02-09,217
2011-02-10,530
2011-02-11,892
2011-02-12,577
2011-02-13,360
2011-02-14,371
2011-02-15,206
2011-02-16,141
2011-02-17,426
2011-02-18,451
2011-02-19,288
2011-02-20,334
2011-02-21,378
2011-02-22,427
2011-02-23,379
2011-02-24,339
2011-02-25,330
2011-02-26,431
2011-02-27,339
2011-02-28,316
2011-03-01,805
2011-03-02,396
2011-03-03,476
2011-03-04,260
2011-03-05,277
2011-03-06,281
2011-03-07,292
2011-03-08,226
2011-03-09,206
2011-03-10,143
2011-03-11,170
2011-03-12,146
2011-03-13,150
2011-03-14,145
2011-03-15,141
2011-03-16,144
2011-03-17,143
2011-03-18,177
2011-03-19,99
2011-03-20,146
2011-03-21,694
2011-03-22,369
2011-03-23,1226
2011-03-24,623
2011-03-25,330
2011-03-26,272
2011-03-27,341
2011-03-28,268
2011-03-29,249
2011-03-30,221
2011-03-31,202
2011-04-01,131
2011-04-02,138
2011-04-03,255
2011-04-04,426
2011-04-05,311
2011-04-06,311
2011-04-07,147
2011-04-08,234
2011-04-09,238
2011-04-10,203
2011-04-11,222
2011-04-12,147
2011-04-13,170
2011-04-14,122
2011-04-15,84
2011-04-16,75
2011-04-17,139
2011-04-18,186
2011-04-19,351
2011-04-20,224
2011-04-21,348
2011-04-22,261
2011-04-23,248
2011-04-24,253
2011-04-25,340
2011-04-26,215
2011-04-27,346
2011-04-28,418
2011-04-29,353
2011-04-30,474
2011-05-01,450
2011-05-02,184
2011-05-03,278
2011-05-04,378
2011-05-05,319
2011-05-06,405
2011-05-07,162
2011-05-08,398
2011-05-09,285
2011-05-10,332
2011-05-11,376
2011-05-12,205
2011-05-13,790
2011-05-14,529
2011-05-15,572
2011-05-16,2525
2011-05-17,1365
2011-05-18,1637
2011-05-19,2022
2011-05-20,1488
2011-05-21,328
2011-05-22,563
2011-05-23,755
2011-05-24,1535
2011-05-25,2173
2011-05-26,884
2011-05-27,332
2011-05-28,876
2011-05-29,628
2011-05-30,1419
2011-05-31,1433
2011-06-01,679
2011-06-02,746
2011-06-03,1017
2011-06-04,1967
2011-06-05,1037
2011-06-06,1144
2011-06-07,998
2011-06-08,1392
2011-06-09,1590
2011-06-10,1409
2011-06-11,1430
2011-06-12,1325
2011-06-13,1459
2011-06-14,1545
2011-06-15,1423
2011-06-16,1807
2011-06-17,1685
2011-06-18,2341
2011-06-19,2264
2011-06-20,1938
2011-06-21,2598
2011-06-22,2202
2011-06-23,1760
2011-06-24,1515
2011-06-25,1076
2011-06-26,1047
2011-06-27,1671
2011-06-28,1153
2011-06-29,1210
2011-06-30,911
2011-07-01,978
2011-07-02,577
2011-07-03,554
2011-07-04,775
2011-07-05,736
2011-07-06,994
2011-07-07,1079
2011-07-08,510
2011-07-09,437
2011-07-10,831
2011-07-11,808
2011-07-12,686
2011-07-13,733
2011-07-14,784
2011-07-15,584
2011-07-16,420
2011-07-17,413
2011-07-18,607
2011-07-19,707
2011-07-20,393
2011-07-21,421
2011-07-22,451
2011-07-23,403
2011-07-24,480
2011-07-25,557
2011-07-26,629
2011-07-27,446
2011-07-28,467
2011-07-29,482
2011-07-30,566
2011-07-31,488
2011-08-01,536
2011-08-02,677
2011-08-03,579
2011-08-04,341
2011-08-05,619
2011-08-06,419
2011-08-07,458
2011-08-08,433
2011-08-09,752
2011-08-10,557
2011-08-11,479
2011-08-12,388
2011-08-13,374
2011-08-14,491
2011-08-15,512
2011-08-16,454
2011-08-17,378
2011-08-18,508
2011-08-19,513
2011-08-20,503
2011-08-21,523
2011-08-22,320
2011-08-23,259
2011-08-24,179
2011-08-25,259
2011-08-26,326
2011-08-27,160
2011-08-28,179
2011-08-29,273
2011-08-30,293
2011-08-31,314
2011-09-01,174
2011-09-02,279
2011-09-03,193
2011-09-04,327
2011-09-05,91
2011-09-06,271
2011-09-07,454
2011-09-08,243
2011-09-09,40
2011-09-10,159
2011-09-11,276
2011-09-12,443
2011-09-13,312
2011-09-14,401
2011-09-15,464
2011-09-16,426
2011-09-17,318
2011-09-18,189
2011-09-19,389
2011-09-20,366
2011-09-21,196
2011-09-22,222
2011-09-23,280
2011-09-24,118
2011-09-25,194
2011-09-26,313
2011-09-27,286
2011-09-28,337
2011-09-29,226
2011-09-30,230
2011-10-01,249
2011-10-02,246
2011-10-03,171
2011-10-04,522
2011-10-05,297
2011-10-06,204
2011-10-07,323
2011-10-08,195
2011-10-09,347
2011-10-10,304
2011-10-11,304
2011-10-12,239
2011-10-13,195
2011-10-14,242
2011-10-15,180
2011-10-16,188
2011-10-17,215
2011-10-18,330
2011-10-19,228
2011-10-20,186
2011-10-21,400
2011-10-22,310
2011-10-23,287
2011-10-24,263
2011-10-25,349
2011-10-26,292
2011-10-27,263
2011-10-28,459
2011-10-29,227
2011-10-30,176
2011-10-31,112
2011-11-01,567
2011-11-02,323
2011-11-03,86
2011-11-04,209
2011-11-05,230
2011-11-06,322
2011-11-07,228
2011-11-08,231
2011-11-09,383
2011-11-10,166
2011-11-11,80
2011-11-12,217
2011-11-13,532
2011-11-14,-3
2011-11-15,190
2011-11-16,28
2011-11-17,191
2011-11-18,190
2011-11-19,196
2011-11-20,348
2011-11-21,351
2011-11-22,294
2011-11-23,37
2011-11-24,241
2011-11-25,371
2011-11-26,334
2011-11-27,170
2011-11-28,148
2011-11-29,312
2011-11-30,198
2011-12-01,264
2011-12-02,430
2011-12-03,255
2011-12-04,506
2011-12-05,390
2011-12-06,247
2011-12-07,275
2011-12-08,163
2011-12-09,330
2011-12-10,310
2011-12-11,442
2011-12-12,284
2011-12-13,1272
2011-12-14,313
2011-12-15,205
2011-12-16,281
2011-12-17,214
2011-12-18,180
2011-12-19,423
2011-12-20,429
2011-12-21,471
2011-12-22,503
2011-12-23,454
2011-12-24,296
2011-12-25,275
2011-12-26,146
2011-12-27,86
2011-12-28,230
2011-12-29,371
2011-12-30,249
2011-12-31,242
2012-01-01,246
2012-01-02,281
2012-01-03,333
2012-01-04,361
2012-01-05,512
2012-01-06,505
2012-01-07,382
2012-01-08,363
2012-01-09,449
2012-01-10,622
2012-01-11,435
2012-01-12,439
2012-01-13,359
2012-01-14,406
2012-01-15,251
2012-01-16,406
2012-01-17,457
2012-01-18,375
2012-01-19,553
2012-01-20,326
2012-01-21,456
2012-01-22,317
2012-01-23,325
2012-01-24,348
