t,distribution_balance_exchanges
2011-08-17,0.0075
2011-08-18,8.05652889
2011-08-19,47.64794689
2011-08-20,39.599918
2011-08-21,41.418918
2011-08-22,40.94750974
2011-08-23,55.09850974
2011-08-24,55.09850974
2011-08-25,30.94750974
2011-08-26,33.94750974
2011-08-27,33.94750974
2011-08-28,33.94750974
2011-08-29,42.40403148
2011-08-30,42.40403148
2011-08-31,45.41403148
2011-09-01,50.41403148
2011-09-02,50.50403148
2011-09-03,50.50403148
2011-09-04,37.43659348
2011-09-05,37.43659348
2011-09-06,78.43659348
2011-09-07,78.43659348
2011-09-08,78.43659348
2011-09-09,81.46659348
2011-09-10,81.46659348
2011-09-11,86.48659348
2011-09-12,70.46659348
2011-09-13,73.49659348
2011-09-14,74.49659348
2011-09-15,74.79659348
2011-09-16,74.79659348
2011-09-17,77.79659348
2011-09-18,77.79659348
2011-09-19,77.79659348
2011-09-20,77.79659348
2011-09-21,75.43739348
2011-09-22,83.45739348
2011-09-23,83.45739348
2011-09-24,83.45739348
2011-09-25,95.24739348
2011-09-26,116.70201282
2011-09-27,95.24746782
2011-09-28,95.24746782
2011-09-29,98.25746782
2011-09-30,98.25746782
2011-10-01,98.25746782
2011-10-02,98.25746782
2011-10-03,106.25746782
2011-10-04,106.25746782
2011-10-05,106.25746782
2011-10-06,128.62701619
2011-10-07,317.48701619
2011-10-08,368.48686259
2011-10-09,568.58686259
2011-10-10,753.92236437
2011-10-11,817.43236437
2011-10-12,920.44236437
2011-10-13,920.44236437
2011-10-14,920.44236437
2011-10-15,920.44236437
2011-10-16,920.44236437
2011-10-17,923.74236437
2011-10-18,928.74236437
2011-10-19,928.74236437
2011-10-20,928.80136437
2011-10-21,931.82136437
2011-10-22,931.82136437
2011-10-23,931.82136437
2011-10-24,931.82136437
2011-10-25,934.82136437
2011-10-26,1017.13136437
2011-10-27,902.27086437
2011-10-28,902.27086437
2011-10-29,879.460816
2011-10-30,883.470816
2011-10-31,886.68089395
2011-11-01,886.68089395
2011-11-02,886.68089395
2011-11-03,889.70089395
2011-11-04,883.1066686
2011-11-05,949.8606686
2011-11-06,945.3046686
2011-11-07,948.2541686
2011-11-08,945.4941686
2011-11-09,947.66600045
2011-11-10,918.1438464
2011-11-11,939.6538464
2011-11-12,919.1438464
2011-11-13,919.1538464
2011-11-14,1068.02200045
2011-11-15,1060.64081483
2011-11-16,931.0
2011-11-17,938.32498217
2011-11-18,1004.83448217
2011-11-19,1057.80660572
2011-11-20,993.18162355
2011-11-21,986.2595
2011-11-22,931.2595
2011-11-23,931.2595
2011-11-24,950.49737645
2011-11-25,844.28084182
2011-11-26,652.53258911
2011-11-27,677.92668686
2011-11-28,795.46507614
2011-11-29,606.49814585
2011-11-30,614.36869537
2011-12-01,547.20831979
2011-12-02,574.55090361
2011-12-03,579.55090361
2011-12-04,569.23108436
2011-12-05,639.21633422
2011-12-06,648.9788545
2011-12-07,607.75447422
2011-12-08,600.86628928
2011-12-09,640.98180728
2011-12-10,656.54606528
2011-12-11,728.96430022
2011-12-12,780.55390096
2011-12-13,778.66001141
2011-12-14,752.53479403
2011-12-15,778.36339463
2011-12-16,800.52364233
2011-12-17,800.52364233
2011-12-18,755.88003346
2011-12-19,681.73229477
2011-12-20,620.79336098
2011-12-21,927.61062481
2011-12-22,691.33127304
2011-12-23,769.15793971
2011-12-24,769.68793971
2011-12-25,832.93793971
2011-12-26,813.59893971
2011-12-27,852.11117958
2011-12-28,854.23310298
2011-12-29,856.23737027
2011-12-30,899.66636429
2011-12-31,825.74636429
2012-01-01,892.41204098
2012-01-02,880.18223407
2012-01-03,987.37383237
2012-01-04,606.28872419
2012-01-05,624.19634199
2012-01-06,620.52634199
2012-01-07,639.76591199
2012-01-08,662.87837725
2012-01-09,665.76759603
2012-01-10,669.26059603
2012-01-11,740.85168627
2012-01-12,697.11110928
2012-01-13,645.64860203
2012-01-14,658.07853203
2012-01-15,676.63853203
2012-01-16,661.59673987
2012-01-17,687.78263092
2012-01-18,583.51254047
2012-01-19,561.94092707
2012-01-20,767.11285808
2012-01-21,796.82071026
2012-01-22,810.27407538
2012-01-23,784.67017284
2012-01-24,848.20859949
2012-01-25,976.46689619
2012-01-26,629.97718485
2012-01-27,699.76383163
2012-01-28,816.90383306
2012-01-29,840.89896161
2012-01-30,874.12194018
2012-01-31,745.03597447
2012-02-01,978.71514644
2012-02-02,1003.91941239
2012-02-03,912.83937173
2012-02-04,929.92186816
2012-02-05,978.86596415
2012-02-06,1177.65930401
2012-02-07,1263.37262818
2012-02-08,1489.05771328
2012-02-09,1463.56971908
2012-02-10,1645.31010687
2012-02-11,1327.94406889
2012-02-12,1244.54462834
2012-02-13,1298.36634595
2012-02-14,1133.39455541
2012-02-15,1221.66678793
2012-02-16,1496.1606399
2012-02-17,1918.66982992
2012-02-18,2048.26801619
2012-02-19,2084.10048649
2012-02-20,2176.79664419
2012-02-21,2155.97487064
2012-02-22,2593.67658859
2012-02-23,2675.32541695
2012-02-24,2870.64333741
2012-02-25,2881.33198811
2012-02-26,3065.22129013
2012-02-27,1942.22829116
2012-02-28,2209.61446553
2012-02-29,2282.60473034
2012-03-01,2630.71511249
2012-03-02,2949.11080051
2012-03-03,3222.65833343
2012-03-04,3596.15485915
2012-03-05,3063.28757642
2012-03-06,2189.81012419
2012-03-07,2556.88528709
2012-03-08,2729.25922297
2012-03-09,2666.37862922
2012-03-10,2898.46454858
2012-03-11,2903.46539595
2012-03-12,2583.87433122
2012-03-13,3652.20684401
2012-03-14,3834.78735365
2012-03-15,4136.3891993
2012-03-16,2566.35362848
2012-03-17,2814.23934238
2012-03-18,2898.85342769
2012-03-19,3921.45279881
2012-03-20,4151.38449462
2012-03-21,4488.22855739
2012-03-22,3908.96219694
2012-03-23,3722.34637402
2012-03-24,4247.81673994
2012-03-25,4134.27272718
2012-03-26,4468.72025688
2012-03-27,5001.60443451
2012-03-28,3237.5072493
2012-03-29,3504.44327411
2012-03-30,4327.70897356
2012-03-31,4372.93687929
2012-04-01,4774.17496495
2012-04-02,3507.21731288
2012-04-03,3856.91915081
2012-04-04,4120.292431010001
2012-04-05,5211.395893080001
2012-04-06,3950.7225533500005
2012-04-07,4474.71282107
2012-04-08,4500.201526010001
2012-04-09,4660.751367870001
2012-04-10,5009.223569350001
2012-04-11,5363.138820180001
2012-04-12,6207.081504580001
2012-04-13,6339.844581110001
2012-04-14,4669.890520000001
2012-04-15,4771.384100370001
2012-04-16,2366.753148410001
2012-04-17,471.25634630000104
2012-04-18,1505.1903061700011
2012-04-19,1155.586066170001
2012-04-20,786.2444811700011
2012-04-21,811.0311102100011
2012-04-22,1337.341975100001
2012-04-23,1636.472294020001
2012-04-24,533.710690450001
2012-04-25,964.717877950001
2012-04-26,1367.5359554800011
2012-04-27,1142.981982460001
2012-04-28,1930.028983690001
2012-04-29,1893.416212790001
2012-04-30,1859.973100450001
2012-05-01,416.10306030000106
2012-05-02,1021.7090243300011
2012-05-03,1733.3970423900012
2012-05-04,1509.371671510001
2012-05-05,1836.2320760200012
2012-05-06,1734.8187020700013
2012-05-07,2294.648369020001
2012-05-08,2062.7233688200013
2012-05-09,2662.6753093300013
2012-05-10,1427.7663093300011
2012-05-11,1669.7394000000013
2012-05-12,1934.5482940500012
2012-05-13,1573.8945738500013
2012-05-14,1818.002437550001
2012-05-15,1606.4422293200012
2012-05-16,1398.3321387500011
2012-05-17,1822.8350000000012
2012-05-18,602.6922771400011
2012-05-19,1249.213808280001
2012-05-20,93.9118088900011
2012-05-21,313.5794413700011
2012-05-22,655.2350746700012
2012-05-23,105.6234543300011
2012-05-24,1226.0086438900012
2012-05-25,2536.8246728500008
2012-05-26,972.0878514800008
2012-05-27,1569.2633515500008
2012-05-28,1590.1933553600009
2012-05-29,1921.1989183400008
2012-05-30,10.541114230000874
2012-05-31,1186.2389731400008
2012-06-01,675.2377473300008
2012-06-02,1078.6152343600008
2012-06-03,2080.027434360001
2012-06-04,501.7341374500009
2012-06-05,1256.4718353300009
2012-06-06,1189.0396844000009
2012-06-07,5506.840792870001
2012-06-08,2630.194709200001
2012-06-09,1204.869057590001
2012-06-10,1179.9782084200008
2012-06-11,3892.3635232700008
2012-06-12,8466.386517130002
2012-06-13,1061.2657912800018
2012-06-14,1893.1817055600018
2012-06-15,2074.6126725400018
2012-06-16,2746.7913088200016
2012-06-17,984.9633832700017
2012-06-18,221.57436385000176
2012-06-19,4560.228405390002
2012-06-20,3383.5943142200017
2012-06-21,8823.326765190002
2012-06-22,3285.3349264400017
2012-06-23,4892.787887040002
2012-06-24,4790.495681800002
2012-06-25,9440.840526630001
2012-06-26,1000.8357980500017
2012-06-27,1055.8509678700018
2012-06-28,52.761553570001745
2012-06-29,2344.8201053100015
2012-06-30,3292.689346940002
2012-07-01,3548.2364896500017
2012-07-02,2124.7109133200015
2012-07-03,678.1371481100018
2012-07-04,1490.6689741000018
2012-07-05,1886.2812137700018
2012-07-06,2045.699697160002
2012-07-07,533.0806139000018
2012-07-08,665.0449409700018
2012-07-09,457.1264476000019
