t,o
2011-08-17,{'bitstamp': 0.0075}
2011-08-18,{'bitstamp': 8.05652889}
2011-08-19,{'bitstamp': 47.64794689}
2011-08-20,{'bitstamp': 39.599918}
2011-08-21,{'bitstamp': 41.418918}
2011-08-22,{'bitstamp': 40.94750974}
2011-08-23,{'bitstamp': 55.09850974}
2011-08-24,{'bitstamp': 55.09850974}
2011-08-25,{'bitstamp': 30.94750974}
2011-08-26,{'bitstamp': 33.94750974}
2011-08-27,{'bitstamp': 33.94750974}
2011-08-28,{'bitstamp': 33.94750974}
2011-08-29,{'bitstamp': 42.40403148}
2011-08-30,{'bitstamp': 42.40403148}
2011-08-31,{'bitstamp': 45.41403148}
2011-09-01,{'bitstamp': 50.41403148}
2011-09-02,{'bitstamp': 50.50403148}
2011-09-03,{'bitstamp': 50.50403148}
2011-09-04,{'bitstamp': 37.43659348}
2011-09-05,{'bitstamp': 37.43659348}
2011-09-06,{'bitstamp': 78.43659348}
2011-09-07,{'bitstamp': 78.43659348}
2011-09-08,{'bitstamp': 78.43659348}
2011-09-09,{'bitstamp': 81.46659348}
2011-09-10,{'bitstamp': 81.46659348}
2011-09-11,{'bitstamp': 86.48659348}
2011-09-12,{'bitstamp': 70.46659348}
2011-09-13,{'bitstamp': 73.49659348}
2011-09-14,{'bitstamp': 74.49659348}
2011-09-15,{'bitstamp': 74.79659348}
2011-09-16,{'bitstamp': 74.79659348}
2011-09-17,{'bitstamp': 77.79659348}
2011-09-18,{'bitstamp': 77.79659348}
2011-09-19,{'bitstamp': 77.79659348}
2011-09-20,{'bitstamp': 77.79659348}
2011-09-21,{'bitstamp': 75.43739348}
2011-09-22,{'bitstamp': 83.45739348}
2011-09-23,{'bitstamp': 83.45739348}
2011-09-24,{'bitstamp': 83.45739348}
2011-09-25,{'bitstamp': 95.24739348}
2011-09-26,{'bitstamp': 116.70201282}
2011-09-27,{'bitstamp': 95.24746782}
2011-09-28,{'bitstamp': 95.24746782}
2011-09-29,{'bitstamp': 98.25746782}
2011-09-30,{'bitstamp': 98.25746782}
2011-10-01,{'bitstamp': 98.25746782}
2011-10-02,{'bitstamp': 98.25746782}
2011-10-03,{'bitstamp': 106.25746782}
2011-10-04,{'bitstamp': 106.25746782}
2011-10-05,{'bitstamp': 106.25746782}
2011-10-06,{'bitstamp': 128.62701619}
2011-10-07,{'bitstamp': 317.48701619}
2011-10-08,{'bitstamp': 368.48686259}
2011-10-09,{'bitstamp': 568.58686259}
2011-10-10,{'bitstamp': 753.92236437}
2011-10-11,{'bitstamp': 817.43236437}
2011-10-12,{'bitstamp': 920.44236437}
2011-10-13,{'bitstamp': 920.44236437}
2011-10-14,{'bitstamp': 920.44236437}
2011-10-15,{'bitstamp': 920.44236437}
2011-10-16,{'bitstamp': 920.44236437}
2011-10-17,{'bitstamp': 923.74236437}
2011-10-18,{'bitstamp': 928.74236437}
2011-10-19,{'bitstamp': 928.74236437}
2011-10-20,{'bitstamp': 928.80136437}
2011-10-21,{'bitstamp': 931.82136437}
2011-10-22,{'bitstamp': 931.82136437}
2011-10-23,{'bitstamp': 931.82136437}
2011-10-24,{'bitstamp': 931.82136437}
2011-10-25,{'bitstamp': 934.82136437}
2011-10-26,{'bitstamp': 1017.13136437}
2011-10-27,{'bitstamp': 902.27086437}
2011-10-28,{'bitstamp': 902.27086437}
2011-10-29,{'bitstamp': 879.460816}
2011-10-30,{'bitstamp': 883.470816}
2011-10-31,{'bitstamp': 886.68089395}
2011-11-01,{'bitstamp': 886.68089395}
2011-11-02,{'bitstamp': 886.68089395}
2011-11-03,{'bitstamp': 889.70089395}
2011-11-04,{'bitstamp': 883.1066686}
2011-11-05,{'bitstamp': 949.8606686}
2011-11-06,{'bitstamp': 945.3046686}
2011-11-07,{'bitstamp': 948.2541686}
2011-11-08,{'bitstamp': 945.4941686}
2011-11-09,{'bitstamp': 947.66600045}
2011-11-10,{'bitstamp': 918.1438464}
2011-11-11,{'bitstamp': 939.6538464}
2011-11-12,{'bitstamp': 919.1438464}
2011-11-13,{'bitstamp': 919.1538464}
2011-11-14,{'bitstamp': 1068.02200045}
2011-11-15,{'bitstamp': 1060.64081483}
2011-11-16,{'bitstamp': 931}
2011-11-17,{'bitstamp': 938.32498217}
2011-11-18,{'bitstamp': 1004.83448217}
2011-11-19,{'bitstamp': 1057.80660572}
2011-11-20,{'bitstamp': 993.18162355}
2011-11-21,{'bitstamp': 986.2595}
2011-11-22,{'bitstamp': 931.2595}
2011-11-23,{'bitstamp': 931.2595}
2011-11-24,{'bitstamp': 950.49737645}
2011-11-25,{'bitstamp': 844.28084182}
2011-11-26,{'bitstamp': 652.53258911}
2011-11-27,{'bitstamp': 677.92668686}
2011-11-28,{'bitstamp': 795.46507614}
2011-11-29,{'bitstamp': 606.49814585}
2011-11-30,{'bitstamp': 614.36869537}
2011-12-01,{'bitstamp': 547.20831979}
2011-12-02,{'bitstamp': 574.55090361}
2011-12-03,{'bitstamp': 579.55090361}
2011-12-04,{'bitstamp': 569.23108436}
2011-12-05,{'bitstamp': 639.21633422}
2011-12-06,{'bitstamp': 648.9788545}
2011-12-07,{'bitstamp': 607.75447422}
2011-12-08,{'bitstamp': 600.86628928}
2011-12-09,{'bitstamp': 640.98180728}
2011-12-10,{'bitstamp': 656.54606528}
2011-12-11,{'bitstamp': 728.96430022}
2011-12-12,{'bitstamp': 780.55390096}
2011-12-13,{'bitstamp': 778.66001141}
2011-12-14,{'bitstamp': 752.53479403}
2011-12-15,{'bitstamp': 778.36339463}
2011-12-16,{'bitstamp': 800.52364233}
2011-12-17,{'bitstamp': 800.52364233}
2011-12-18,{'bitstamp': 755.88003346}
2011-12-19,{'bitstamp': 681.73229477}
2011-12-20,{'bitstamp': 620.79336098}
2011-12-21,{'bitstamp': 927.61062481}
2011-12-22,{'bitstamp': 691.33127304}
2011-12-23,{'bitstamp': 769.15793971}
2011-12-24,{'bitstamp': 769.68793971}
2011-12-25,{'bitstamp': 832.93793971}
2011-12-26,{'bitstamp': 813.59893971}
2011-12-27,{'bitstamp': 852.11117958}
2011-12-28,{'bitstamp': 854.23310298}
2011-12-29,{'bitstamp': 856.23737027}
2011-12-30,{'bitstamp': 899.66636429}
2011-12-31,{'bitstamp': 825.74636429}
2012-01-01,{'bitstamp': 892.41204098}
2012-01-02,{'bitstamp': 880.18223407}
2012-01-03,{'bitstamp': 987.37383237}
2012-01-04,{'bitstamp': 606.28872419}
2012-01-05,{'bitstamp': 624.19634199}
2012-01-06,{'bitstamp': 620.52634199}
2012-01-07,{'bitstamp': 639.76591199}
2012-01-08,{'bitstamp': 662.87837725}
2012-01-09,{'bitstamp': 665.76759603}
2012-01-10,{'bitstamp': 669.26059603}
2012-01-11,{'bitstamp': 740.85168627}
2012-01-12,{'bitstamp': 697.11110928}
2012-01-13,{'bitstamp': 645.64860203}
2012-01-14,{'bitstamp': 658.07853203}
2012-01-15,{'bitstamp': 676.63853203}
2012-01-16,{'bitstamp': 661.59673987}
2012-01-17,{'bitstamp': 687.78263092}
2012-01-18,{'bitstamp': 583.51254047}
2012-01-19,{'bitstamp': 561.94092707}
2012-01-20,{'bitstamp': 767.11285808}
2012-01-21,{'bitstamp': 796.82071026}
2012-01-22,{'bitstamp': 810.27407538}
2012-01-23,{'bitstamp': 784.67017284}
2012-01-24,{'bitstamp': 848.20859949}
2012-01-25,{'bitstamp': 976.46689619}
2012-01-26,{'bitstamp': 629.97718485}
2012-01-27,{'bitstamp': 699.76383163}
2012-01-28,{'bitstamp': 816.90383306}
2012-01-29,{'bitstamp': 840.89896161}
2012-01-30,{'bitstamp': 874.12194018}
2012-01-31,{'bitstamp': 745.03597447}
2012-02-01,{'bitstamp': 978.71514644}
2012-02-02,{'bitstamp': 1003.91941239}
2012-02-03,{'bitstamp': 912.83937173}
2012-02-04,{'bitstamp': 929.92186816}
2012-02-05,{'bitstamp': 978.86596415}
2012-02-06,{'bitstamp': 1177.65930401}
2012-02-07,{'bitstamp': 1263.37262818}
2012-02-08,{'bitstamp': 1489.05771328}
2012-02-09,{'bitstamp': 1463.56971908}
2012-02-10,{'bitstamp': 1645.31010687}
2012-02-11,{'bitstamp': 1327.94406889}
2012-02-12,{'bitstamp': 1244.54462834}
2012-02-13,{'bitstamp': 1298.36634595}
2012-02-14,{'bitstamp': 1133.39455541}
2012-02-15,{'bitstamp': 1221.66678793}
2012-02-16,{'bitstamp': 1496.1606399}
2012-02-17,{'bitstamp': 1918.66982992}
2012-02-18,{'bitstamp': 2048.26801619}
2012-02-19,{'bitstamp': 2084.10048649}
2012-02-20,{'bitstamp': 2176.79664419}
2012-02-21,{'bitstamp': 2155.97487064}
2012-02-22,{'bitstamp': 2593.67658859}
2012-02-23,{'bitstamp': 2675.32541695}
2012-02-24,{'bitstamp': 2870.64333741}
2012-02-25,{'bitstamp': 2881.33198811}
2012-02-26,{'bitstamp': 3065.22129013}
2012-02-27,{'bitstamp': 1942.22829116}
2012-02-28,{'bitstamp': 2209.61446553}
2012-02-29,{'bitstamp': 2282.60473034}
2012-03-01,{'bitstamp': 2630.71511249}
2012-03-02,{'bitstamp': 2949.11080051}
2012-03-03,{'bitstamp': 3222.65833343}
2012-03-04,{'bitstamp': 3596.15485915}
2012-03-05,{'bitstamp': 3063.28757642}
2012-03-06,{'bitstamp': 2189.81012419}
2012-03-07,{'bitstamp': 2556.88528709}
2012-03-08,{'bitstamp': 2729.25922297}
2012-03-09,{'bitstamp': 2666.37862922}
2012-03-10,{'bitstamp': 2898.46454858}
2012-03-11,{'bitstamp': 2903.46539595}
2012-03-12,{'bitstamp': 2583.87433122}
2012-03-13,{'bitstamp': 3652.20684401}
2012-03-14,{'bitstamp': 3834.78735365}
2012-03-15,{'bitstamp': 4136.3891993}
2012-03-16,{'bitstamp': 2566.35362848}
2012-03-17,{'bitstamp': 2814.23934238}
2012-03-18,{'bitstamp': 2898.85342769}
2012-03-19,{'bitstamp': 3921.45279881}
2012-03-20,{'bitstamp': 4151.38449462}
2012-03-21,{'bitstamp': 4488.22855739}
2012-03-22,{'bitstamp': 3908.96219694}
2012-03-23,{'bitstamp': 3722.34637402}
2012-03-24,{'bitstamp': 4247.81673994}
2012-03-25,{'bitstamp': 4134.27272718}
2012-03-26,{'bitstamp': 4468.72025688}
2012-03-27,{'bitstamp': 5001.60443451}
2012-03-28,{'bitstamp': 3237.5072493}
2012-03-29,{'bitstamp': 3504.44327411}
2012-03-30,{'bitstamp': 4327.70897356}
2012-03-31,{'bitstamp': 4372.93687929}
2012-04-01,{'bitstamp': 4774.17496495}
2012-04-02,"{'bitstamp': 3507.19731288, 'coinbase': 0.02}"
2012-04-03,"{'bitstamp': 3856.89915081, 'coinbase': 0.02}"
2012-04-04,"{'bitstamp': 4120.27243101, 'coinbase': 0.02}"
2012-04-05,"{'bitstamp': 5211.37589308, 'coinbase': 0.02}"
2012-04-06,"{'bitstamp': 3950.70255335, 'coinbase': 0.02}"
2012-04-07,"{'bitstamp': 4474.64282107, 'coinbase': 0.07}"
2012-04-08,"{'bitstamp': 4500.11152601, 'coinbase': 0.09}"
2012-04-09,"{'bitstamp': 4660.66136787, 'coinbase': 0.09}"
2012-04-10,"{'bitstamp': 5009.13356935, 'coinbase': 0.09}"
2012-04-11,"{'bitstamp': 5363.04882018, 'coinbase': 0.09}"
2012-04-12,"{'bitstamp': 6206.99150458, 'coinbase': 0.09}"
2012-04-13,"{'bitstamp': 6339.75458111, 'coinbase': 0.09}"
2012-04-14,"{'bitstamp': 4669.80052, 'coinbase': 0.09}"
2012-04-15,"{'bitstamp': 4771.29410037, 'coinbase': 0.09}"
2012-04-16,"{'bitstamp': 2366.66314841, 'coinbase': 0.09}"
2012-04-17,"{'bitstamp': 471.1663463, 'coinbase': 0.09}"
2012-04-18,"{'bitstamp': 1505.10030617, 'coinbase': 0.09}"
2012-04-19,"{'bitstamp': 1155.49606617, 'coinbase': 0.09}"
2012-04-20,"{'bitstamp': 786.15448117, 'coinbase': 0.09}"
2012-04-21,"{'bitstamp': 810.94111021, 'coinbase': 0.09}"
2012-04-22,"{'bitstamp': 1337.2519751, 'coinbase': 0.09}"
2012-04-23,"{'bitstamp': 1636.38229402, 'coinbase': 0.09}"
2012-04-24,"{'bitstamp': 533.62069045, 'coinbase': 0.09}"
2012-04-25,"{'bitstamp': 964.62787795, 'coinbase': 0.09}"
2012-04-26,"{'bitstamp': 1367.44595548, 'coinbase': 0.09}"
2012-04-27,"{'bitstamp': 1142.89198246, 'coinbase': 0.09}"
2012-04-28,"{'bitstamp': 1929.93898369, 'coinbase': 0.09}"
2012-04-29,"{'bitstamp': 1893.32621279, 'coinbase': 0.09}"
2012-04-30,"{'bitstamp': 1859.88310045, 'coinbase': 0.09}"
2012-05-01,"{'bitstamp': 416.0130603, 'coinbase': 0.09}"
2012-05-02,"{'bitstamp': 1021.61902433, 'coinbase': 0.09}"
2012-05-03,"{'bitstamp': 1733.30704239, 'coinbase': 0.09}"
2012-05-04,"{'bitstamp': 1509.28167151, 'coinbase': 0.09}"
2012-05-05,"{'bitstamp': 1836.14207602, 'coinbase': 0.09}"
2012-05-06,"{'bitstamp': 1734.67870207, 'coinbase': 0.14}"
2012-05-07,"{'bitstamp': 2294.50836902, 'coinbase': 0.14}"
2012-05-08,"{'bitstamp': 2062.58336882, 'coinbase': 0.14}"
2012-05-09,"{'bitstamp': 2662.53530933, 'coinbase': 0.14}"
2012-05-10,"{'bitstamp': 1427.62630933, 'coinbase': 0.14}"
2012-05-11,"{'bitstamp': 1669.5994, 'coinbase': 0.14}"
2012-05-12,"{'bitstamp': 1934.38829405, 'coinbase': 0.16}"
2012-05-13,"{'bitstamp': 1573.73457385, 'coinbase': 0.16}"
2012-05-14,"{'bitstamp': 1817.83743755, 'coinbase': 0.165}"
2012-05-15,"{'bitstamp': 1606.27722932, 'coinbase': 0.165}"
2012-05-16,"{'bitstamp': 1398.16713875, 'coinbase': 0.165}"
2012-05-17,"{'bitstamp': 1822.67, 'coinbase': 0.165}"
2012-05-18,"{'bitstamp': 602.52727714, 'coinbase': 0.165}"
2012-05-19,"{'bitstamp': 1249.04880828, 'coinbase': 0.165}"
2012-05-20,"{'bitstamp': 93.74680889, 'coinbase': 0.165}"
2012-05-21,"{'bitstamp': 313.41444137, 'coinbase': 0.165}"
2012-05-22,"{'bitstamp': 655.07007467, 'coinbase': 0.165}"
2012-05-23,"{'bitstamp': 105.45845433, 'coinbase': 0.165}"
2012-05-24,"{'bitstamp': 1225.84364389, 'coinbase': 0.165}"
2012-05-25,"{'bitstamp': 2536.65967285, 'coinbase': 0.165}"
2012-05-26,"{'bitstamp': 971.92285148, 'coinbase': 0.165}"
2012-05-27,"{'bitstamp': 1569.09835155, 'coinbase': 0.165}"
2012-05-28,"{'bitstamp': 1590.02835536, 'coinbase': 0.165}"
2012-05-29,"{'bitstamp': 1921.03391834, 'coinbase': 0.165}"
2012-05-30,"{'bitstamp': 10.37611423, 'coinbase': 0.165}"
2012-05-31,"{'bitstamp': 1186.07397314, 'coinbase': 0.165}"
2012-06-01,"{'bitstamp': 675.07274733, 'coinbase': 0.165}"
2012-06-02,"{'bitstamp': 1078.45023436, 'coinbase': 0.165}"
2012-06-03,"{'bitstamp': 2079.86243436, 'coinbase': 0.165}"
2012-06-04,"{'bitstamp': 501.56913745, 'coinbase': 0.165}"
2012-06-05,"{'bitstamp': 1256.30683533, 'coinbase': 0.165}"
2012-06-06,"{'bitstamp': 1188.8346844, 'coinbase': 0.205}"
2012-06-07,"{'bitstamp': 5506.63579287, 'coinbase': 0.205}"
2012-06-08,"{'bitstamp': 2629.9897092, 'coinbase': 0.205}"
2012-06-09,"{'bitstamp': 1204.66405759, 'coinbase': 0.205}"
2012-06-10,"{'bitstamp': 1179.77320842, 'coinbase': 0.205}"
2012-06-11,"{'bitstamp': 3892.15852327, 'coinbase': 0.205}"
2012-06-12,"{'bitstamp': 8466.18151713, 'coinbase': 0.205}"
2012-06-13,"{'bitstamp': 1061.06079128, 'coinbase': 0.205}"
2012-06-14,"{'bitstamp': 1892.97670556, 'coinbase': 0.205}"
2012-06-15,"{'bitstamp': 2074.40767254, 'coinbase': 0.205}"
2012-06-16,"{'bitstamp': 2746.58630882, 'coinbase': 0.205}"
2012-06-17,"{'bitstamp': 984.75838327, 'coinbase': 0.205}"
2012-06-18,"{'bitstamp': 221.36936385, 'coinbase': 0.205}"
2012-06-19,"{'bitstamp': 4560.02340539, 'coinbase': 0.205}"
2012-06-20,"{'bitstamp': 3383.38931422, 'coinbase': 0.205}"
2012-06-21,"{'bitstamp': 8823.12176519, 'coinbase': 0.205}"
2012-06-22,"{'bitstamp': 3285.12992644, 'coinbase': 0.205}"
2012-06-23,"{'bitstamp': 4892.58288704, 'coinbase': 0.205}"
2012-06-24,"{'bitstamp': 4790.2906818, 'coinbase': 0.205}"
2012-06-25,"{'bitstamp': 9440.63552663, 'coinbase': 0.205}"
2012-06-26,"{'bitstamp': 1000.63079805, 'coinbase': 0.205}"
2012-06-27,"{'bitstamp': 1055.64596787, 'coinbase': 0.205}"
2012-06-28,"{'bitstamp': 52.55655357, 'coinbase': 0.205}"
2012-06-29,"{'bitstamp': 2344.02500531, 'coinbase': 0.7951}"
2012-06-30,"{'bitstamp': 3290.47843284, 'coinbase': 2.2109141}"
2012-07-01,"{'bitstamp': 3545.94447555, 'coinbase': 2.2920141}"
2012-07-02,"{'bitstamp': 2122.40173922, 'coinbase': 2.3091741}"
2012-07-03,"{'bitstamp': 675.81523401, 'coinbase': 2.3219141}"
2012-07-04,"{'bitstamp': 1488.34058, 'coinbase': 2.3283941}"
2012-07-05,"{'bitstamp': 1883.95187967, 'coinbase': 2.3293341}"
2012-07-06,"{'bitstamp': 2032.78704306, 'coinbase': 12.9126541}"
2012-07-07,"{'bitstamp': 520.1818598, 'coinbase': 12.8987541}"
2012-07-08,"{'bitstamp': 661.07445478, 'coinbase': 3.97048619}"
2012-07-09,"{'bitstamp': 453.13762141, 'coinbase': 3.98882619}"
2012-07-10,"{'bitstamp': 366.86698404, 'coinbase': 31.98432619}"
2012-07-11,"{'bitstamp': 327.02872142, 'coinbase': 31.98810619}"
2012-07-12,"{'bitstamp': 2705.70050099, 'coinbase': 3.91680619}"
2012-07-13,"{'bitstamp': 3499.98153722, 'coinbase': 3.90404721}"
