t,transactions_transfers_to_exchanges_count
2011-08-17,1
2011-08-18,3
2011-08-19,4
2011-08-20,1
2011-08-21,2
2011-08-22,1
2011-08-23,1
2011-08-24,0
2011-08-25,0
2011-08-26,1
2011-08-27,0
2011-08-28,0
2011-08-29,1
2011-08-30,0
2011-08-31,1
2011-09-01,1
2011-09-02,1
2011-09-03,0
2011-09-04,2
2011-09-05,0
2011-09-06,2
2011-09-07,0
2011-09-08,0
2011-09-09,1
2011-09-10,0
2011-09-11,1
2011-09-12,0
2011-09-13,1
2011-09-14,1
2011-09-15,1
2011-09-16,0
2011-09-17,1
2011-09-18,0
2011-09-19,0
2011-09-20,0
2011-09-21,0
2011-09-22,2
2011-09-23,0
2011-09-24,0
2011-09-25,1
2011-09-26,3
2011-09-27,0
2011-09-28,0
2011-09-29,1
2011-09-30,0
2011-10-01,0
2011-10-02,0
2011-10-03,2
2011-10-04,0
2011-10-05,0
2011-10-06,3
2011-10-07,3
2011-10-08,2
2011-10-09,4
2011-10-10,3
2011-10-11,2
2011-10-12,2
2011-10-13,0
2011-10-14,0
2011-10-15,0
2011-10-16,0
2011-10-17,1
2011-10-18,1
2011-10-19,0
2011-10-20,1
2011-10-21,1
2011-10-22,0
2011-10-23,0
2011-10-24,0
2011-10-25,1
2011-10-26,5
2011-10-27,1
2011-10-28,0
2011-10-29,0
2011-10-30,2
2011-10-31,3
2011-11-01,0
2011-11-02,0
2011-11-03,1
2011-11-04,3
2011-11-05,6
2011-11-06,1
2011-11-07,1
2011-11-08,0
2011-11-09,2
2011-11-10,1
2011-11-11,2
2011-11-12,0
2011-11-13,1
2011-11-14,13
2011-11-15,3
2011-11-16,0
2011-11-17,3
2011-11-18,5
2011-11-19,3
2011-11-20,1
2011-11-21,4
2011-11-22,1
2011-11-23,0
2011-11-24,2
2011-11-25,8
2011-11-26,1
2011-11-27,2
2011-11-28,7
2011-11-29,6
2011-11-30,5
2011-12-01,5
2011-12-02,4
2011-12-03,1
2011-12-04,1
2011-12-05,2
2011-12-06,4
2011-12-07,4
2011-12-08,2
2011-12-09,4
2011-12-10,3
2011-12-11,4
2011-12-12,4
2011-12-13,8
2011-12-14,3
2011-12-15,4
2011-12-16,5
2011-12-17,0
2011-12-18,3
2011-12-19,1
2011-12-20,3
2011-12-21,7
2011-12-22,2
2011-12-23,4
2011-12-24,2
2011-12-25,6
2011-12-26,4
2011-12-27,10
2011-12-28,5
2011-12-29,7
2011-12-30,3
2011-12-31,2
2012-01-01,5
2012-01-02,5
2012-01-03,10
2012-01-04,9
2012-01-05,8
2012-01-06,9
2012-01-07,7
2012-01-08,9
2012-01-09,8
2012-01-10,7
2012-01-11,9
2012-01-12,6
2012-01-13,4
2012-01-14,5
2012-01-15,3
2012-01-16,3
2012-01-17,4
2012-01-18,7
2012-01-19,5
2012-01-20,21
2012-01-21,20
2012-01-22,20
2012-01-23,14
2012-01-24,21
2012-01-25,21
2012-01-26,17
2012-01-27,21
2012-01-28,17
2012-01-29,16
2012-01-30,15
2012-01-31,24
2012-02-01,20
2012-02-02,22
2012-02-03,26
2012-02-04,21
2012-02-05,23
2012-02-06,29
2012-02-07,26
2012-02-08,27
2012-02-09,22
2012-02-10,31
