t,transactions_transfers_volume_from_exchanges_sum
2011-08-17,0.0
2011-08-18,0.48990826
2011-08-19,0.0
2011-08-20,8.07802889
2011-08-21,0.0
2011-08-22,0.49
2011-08-23,10.0
2011-08-24,0.0
2011-08-25,24.151
2011-08-26,0.0
2011-08-27,0.0
2011-08-28,0.0
2011-08-29,0.0
2011-08-30,0.0
2011-08-31,0.0
2011-09-01,0.0
2011-09-02,0.0
2011-09-03,0.0
2011-09-04,16.22671303
2011-09-05,0.0
2011-09-06,0.0
2011-09-07,0.0
2011-09-08,0.0
2011-09-09,0.0
2011-09-10,0.0
2011-09-11,0.0
2011-09-12,16.02
2011-09-13,0.0
2011-09-14,0.0
2011-09-15,0.0
2011-09-16,0.0
2011-09-17,0.0
2011-09-18,0.0
2011-09-19,0.0
2011-09-20,0.0
2011-09-21,2.3592
2011-09-22,0.0
2011-09-23,0.0
2011-09-24,0.0
2011-09-25,0.0
2011-09-26,0.0
2011-09-27,21.454545
2011-09-28,0.0
2011-09-29,0.0
2011-09-30,0.0
2011-10-01,0.0
2011-10-02,0.0
2011-10-03,0.0
2011-10-04,0.0
2011-10-05,0.0
2011-10-06,13.250501
2011-10-07,14.14
2011-10-08,0.0
2011-10-09,0.0
2011-10-10,132.5
2011-10-11,51.49
2011-10-12,0.0
2011-10-13,0.0
2011-10-14,0.0
2011-10-15,0.0
2011-10-16,0.0
2011-10-17,6.94
2011-10-18,0.0
2011-10-19,0.0
2011-10-20,0.0
2011-10-21,0.0
2011-10-22,0.0
2011-10-23,0.0
2011-10-24,0.0
2011-10-25,0.0
2011-10-26,18.0
2011-10-27,115.0
2011-10-28,0.0
2011-10-29,22.81004837
2011-10-30,0.0
2011-10-31,3.75
2011-11-01,0.0
2011-11-02,0.0
2011-11-03,0.0
2011-11-04,44.65422535
2011-11-05,44.194
2011-11-06,7.436
2011-11-07,0.12
2011-11-08,2.76
2011-11-09,0.0
2011-11-10,69.52165405
2011-11-11,0.0
2011-11-12,20.51
2011-11-13,0.0
2011-11-14,40.0
2011-11-15,22.33968562
2011-11-16,129.64031483
2011-11-17,1.0
2011-11-18,11.0
2011-11-19,0.0
2011-11-20,76.47710572
2011-11-21,68.02162355
2011-11-22,61.03367364
2011-11-23,0.0
2011-11-24,0.0
2011-11-25,208.01326599
2011-11-26,211.74825271
2011-11-27,20.0
2011-11-28,46.92668686
2011-11-29,267.01859167
2011-11-30,40.2995
2011-12-01,104.0
2011-12-02,12.8
2011-12-03,0.0
2011-12-04,14.54981925
2011-12-05,21.17619188
2011-12-06,60.92238382
2011-12-07,76.702178
2011-12-08,25.0
2011-12-09,5.06
2011-12-10,10.44102
2011-12-11,35.51309306
2011-12-12,55.529226
2011-12-13,49.10561798
2011-12-14,106.4834313
2011-12-15,74.18094083
2011-12-16,38.53405676
2011-12-17,0.0
2011-12-18,54.01921444
2011-12-19,104.14773869
2011-12-20,84.82843379
2011-12-21,106.77692178
2011-12-22,246.209422
2011-12-23,62.73333333
2011-12-24,0.0
2011-12-25,0.0
2011-12-26,31.97
2011-12-27,22.75075542
2011-12-28,40.8165766
2011-12-29,37.99423256
2011-12-30,7.25100598
2011-12-31,77.5
2012-01-01,1.53582331
2012-01-02,35.05
2012-01-03,68.5879017
2012-01-04,421.07925755
2012-01-05,55.75268565
2012-01-06,29.0
2012-01-07,3.0
2012-01-08,0.0
2012-01-09,43.9851158
2012-01-10,53.3695
2012-01-11,75.81734976
2012-01-12,129.1871308
2012-01-13,70.06843026
2012-01-14,0.0
2012-01-15,21.15
2012-01-16,22.12266086
2012-01-17,18.68
2012-01-18,163.15221003
2012-01-19,23.42
2012-01-20,6.8545736
2012-01-21,0.0
2012-01-22,0.97693163
2012-01-23,40.406
2012-01-24,35.90534351
2012-01-25,11.3
2012-01-26,404.44145896
2012-01-27,101.10062392
2012-01-28,0.0
2012-01-29,1.85484643
2012-01-30,29.85250987
2012-01-31,214.43445658
2012-02-01,21.12
2012-02-02,126.04967543
2012-02-03,567.05223998
2012-02-04,36.8049062
2012-02-05,49.51442458
2012-02-06,24.55517092
2012-02-07,40.33673664
2012-02-08,6.63
2012-02-09,78.12322113
2012-02-10,152.1124407
2012-02-11,544.8205122
2012-02-12,371.5246
2012-02-13,78.30565938
2012-02-14,405.44616836
2012-02-15,36.68382413
2012-02-16,122.22202344
2012-02-17,74.37025337
2012-02-18,84.21704653
2012-02-19,8.5368
2012-02-20,169.39541742
2012-02-21,387.70129374
2012-02-22,27.52073218
2012-02-23,355.2787424
2012-02-24,273.75594648
2012-02-25,224.57147181
2012-02-26,111.12556266
2012-02-27,1599.13751142
2012-02-28,243.49088806
2012-02-29,59.87975952
2012-03-01,61.89141317
2012-03-02,70.36790435
2012-03-03,32.75919975
2012-03-04,209.1919706
2012-03-05,1843.14443514
2012-03-06,1542.38954269
2012-03-07,268.94264682
2012-03-08,181.88441584
2012-03-09,1000.7149
2012-03-10,45.5
2012-03-11,165.34913298
2012-03-12,1146.34085073
2012-03-13,871.94337721
2012-03-14,895.17901493
2012-03-15,621.00628432
2012-03-16,2021.11225738
2012-03-17,160.3498091
2012-03-18,616.51772469
2012-03-19,48.57466888
2012-03-20,221.88096519
2012-03-21,9.32862903
2012-03-22,1622.36136659
2012-03-23,337.61469063
2012-03-24,18.51183229
2012-03-25,204.20661157
2012-03-26,23.08081415
2012-03-27,306.92968789
2012-03-28,2116.2022559
2012-03-29,31.91899543
2012-03-30,68.7935174
2012-03-31,252.9731
2012-04-01,90.91779628
2012-04-02,1974.07194832
2012-04-03,340.21379207
2012-04-04,270.24179179
2012-04-05,299.68110793
2012-04-06,2030.4659696
2012-04-07,97.32161417
2012-04-08,258.37079506
2012-04-09,60.69992561
2012-04-10,181.96516102
2012-04-11,338.83300395
2012-04-12,420.05730628
2012-04-13,657.7982271
2012-04-14,3436.34592514
2012-04-15,0.0
2012-04-16,3047.04879517
2012-04-17,2721.37793539
2012-04-18,667.7548593
2012-04-19,904.16864
2012-04-20,1101.2232
2012-04-21,231.53075385
2012-04-22,60.50274951
2012-04-23,1326.78738108
2012-04-24,2929.68730709
2012-04-25,805.70722549
2012-04-26,713.20785831
2012-04-27,698.4278
2012-04-28,52.16489785
2012-04-29,504.4427909
2012-04-30,286.8513468
2012-05-01,2333.94957045
2012-05-02,159.15083025
2012-05-03,570.06134303
2012-05-04,868.94706332
2012-05-05,2078.51503139
2012-05-06,770.06363624
2012-05-07,1328.56099361
2012-05-08,1099.21669782
2012-05-09,360.1514243
2012-05-10,2306.354
2012-05-11,659.64246103
2012-05-12,274.0035
2012-05-13,786.50251601
2012-05-14,834.02497385
2012-05-15,504.96410177
2012-05-16,791.02728623
2012-05-17,568.42994528
2012-05-18,2408.20277592
2012-05-19,274.166
2012-05-20,1865.68806794
2012-05-21,1311.17966784
2012-05-22,921.55778605
2012-05-23,836.15623332
2012-05-24,593.08183884
2012-05-25,191.69144516
2012-05-26,2934.99598565
2012-05-27,911.8587
2012-05-28,30.91258394
2012-05-29,3015.42234603
2012-05-30,4892.29933301
2012-05-31,432.86568505
2012-06-01,711.88183842
2012-06-02,82.1618197
2012-06-03,190.0106
2012-06-04,2179.09112889
2012-06-05,2064.16921572
2012-06-06,2333.2117509
2012-06-07,1613.09465497
2012-06-08,5104.80538422
2012-06-09,3743.87874776
2012-06-10,612.37341846
2012-06-11,3874.51170842
2012-06-12,8143.00640231
2012-06-13,11627.62062098
2012-06-14,12777.98754451
2012-06-15,2265.55489351
2012-06-16,805.87235579
2012-06-17,3016.01864344
2012-06-18,2008.50828326
2012-06-19,1438.87158267
2012-06-20,3304.62111474
2012-06-21,782.507
2012-06-22,16280.81345017
2012-06-23,782.61351116
2012-06-24,673.86898936
2012-06-25,1932.63021572
2012-06-26,15597.46222997
2012-06-27,14130.63622969
2012-06-28,3873.19042291
2012-06-29,1459.20122288
2012-06-30,115.77490222
2012-07-01,205.08504257
2012-07-02,12870.7840896
2012-07-03,2847.09916134
2012-07-04,5243.98051111
2012-07-05,1854.153918
2012-07-06,1612.74778647
2012-07-07,1649.45688492
2012-07-08,1379.97078687
2012-07-09,1162.99375405
2012-07-10,1476.14871104
2012-07-11,611.71494913
2012-07-12,1349.49404728
2012-07-13,2017.05241929
2012-07-14,1511.55735473
2012-07-15,257.39137045
2012-07-16,6165.3679952
2012-07-17,5565.27116707
2012-07-18,2346.41240829
2012-07-19,1201.89294009
2012-07-20,7019.81087921
2012-07-21,1491.06447511
2012-07-22,642.22196016
2012-07-23,1856.35171736
2012-07-24,1036.65701518
2012-07-25,8330.41346009
2012-07-26,520.48331645
2012-07-27,4053.07773169
2012-07-28,695.86680992
2012-07-29,708.38255376
2012-07-30,3039.37208065
2012-07-31,4339.56363263
2012-08-01,1536.8836183
2012-08-02,3275.47487501
2012-08-03,933.20810331
2012-08-04,415.20213211
2012-08-05,8480.09301974
2012-08-06,1733.32189881
2012-08-07,508.12573254
2012-08-08,2146.78672787
2012-08-09,1792.37733998
2012-08-10,3364.03318389
2012-08-11,1720.96365103
2012-08-12,538.72787238
2012-08-13,2172.6501015
2012-08-14,1126.04192338
2012-08-15,949.64816206
2012-08-16,1986.91275776
2012-08-17,4284.56787031
2012-08-18,6529.53554946
2012-08-19,1271.52501245
2012-08-20,2724.01692518
2012-08-21,1452.75582893
2012-08-22,4461.51676041
2012-08-23,2244.37808285
2012-08-24,2902.33835533
2012-08-25,1157.63480178
2012-08-26,1316.47491582
2012-08-27,2495.09012885
2012-08-28,3764.0481478
2012-08-29,25641.8016344
2012-08-30,1266.06275744
2012-08-31,1463.68047044
2012-09-01,733.62271688
2012-09-02,1351.25164539
2012-09-03,490.31462221
2012-09-04,3264.68196804
2012-09-05,2905.48524671
2012-09-06,2516.8642837
2012-09-07,863.51621418
2012-09-08,3982.9961637
2012-09-09,1801.87070092
2012-09-10,638.63793624
2012-09-11,4552.16529151
2012-09-12,1361.74256154
2012-09-13,1694.40673168
2012-09-14,2216.12447542
2012-09-15,459.24914319
2012-09-16,1411.83000882
2012-09-17,640.23995686
2012-09-18,3221.0671623
2012-09-19,1610.53509695
2012-09-20,1521.64118789
2012-09-21,7290.13725966
2012-09-22,788.83361473
2012-09-23,847.13351726
2012-09-24,3268.57654943
2012-09-25,2249.46468709
2012-09-26,2257.3474404
2012-09-27,2878.63470422
2012-09-28,2793.90750267
2012-09-29,438.45157213
2012-09-30,394.249024
2012-10-01,1743.48846754
2012-10-02,2201.19951226775
2012-10-03,5984.51059442
2012-10-04,4344.94722793
2012-10-05,5557.85684751
2012-10-06,1286.89343355
