t,transactions_transfers_from_exchanges_count
2011-08-17,0
2011-08-18,1
2011-08-19,0
2011-08-20,2
2011-08-21,0
2011-08-22,2
2011-08-23,1
2011-08-24,0
2011-08-25,2
2011-08-26,0
2011-08-27,0
2011-08-28,0
2011-08-29,0
2011-08-30,0
2011-08-31,0
2011-09-01,0
2011-09-02,0
2011-09-03,0
2011-09-04,1
2011-09-05,0
2011-09-06,0
2011-09-07,0
2011-09-08,0
2011-09-09,0
2011-09-10,0
2011-09-11,0
2011-09-12,1
2011-09-13,0
2011-09-14,0
2011-09-15,0
2011-09-16,0
2011-09-17,0
2011-09-18,0
2011-09-19,0
2011-09-20,0
2011-09-21,2
2011-09-22,0
2011-09-23,0
2011-09-24,0
2011-09-25,0
2011-09-26,0
2011-09-27,1
2011-09-28,0
2011-09-29,0
2011-09-30,0
2011-10-01,0
2011-10-02,0
2011-10-03,0
2011-10-04,0
2011-10-05,0
2011-10-06,2
2011-10-07,1
2011-10-08,0
2011-10-09,0
2011-10-10,1
2011-10-11,2
2011-10-12,0
2011-10-13,0
2011-10-14,0
2011-10-15,0
2011-10-16,0
2011-10-17,1
2011-10-18,0
2011-10-19,0
2011-10-20,0
2011-10-21,0
2011-10-22,0
2011-10-23,0
2011-10-24,0
2011-10-25,0
2011-10-26,3
2011-10-27,1
2011-10-28,0
2011-10-29,2
2011-10-30,0
2011-10-31,1
2011-11-01,0
2011-11-02,0
2011-11-03,0
2011-11-04,1
2011-11-05,2
2011-11-06,1
2011-11-07,1
2011-11-08,1
2011-11-09,0
2011-11-10,5
2011-11-11,0
2011-11-12,1
2011-11-13,0
2011-11-14,2
2011-11-15,8
2011-11-16,9
2011-11-17,1
2011-11-18,1
2011-11-19,0
2011-11-20,5
2011-11-21,4
2011-11-22,6
2011-11-23,0
2011-11-24,0
2011-11-25,4
2011-11-26,2
2011-11-27,2
2011-11-28,2
2011-11-29,6
2011-11-30,4
2011-12-01,3
2011-12-02,2
2011-12-03,0
2011-12-04,2
2011-12-05,3
2011-12-06,4
2011-12-07,5
2011-12-08,1
2011-12-09,1
2011-12-10,2
2011-12-11,4
2011-12-12,5
2011-12-13,3
2011-12-14,8
2011-12-15,4
2011-12-16,1
2011-12-17,0
2011-12-18,3
2011-12-19,2
2011-12-20,5
2011-12-21,3
2011-12-22,4
2011-12-23,3
2011-12-24,0
2011-12-25,0
2011-12-26,1
2011-12-27,3
2011-12-28,4
2011-12-29,4
2011-12-30,3
2011-12-31,2
2012-01-01,2
2012-01-02,2
2012-01-03,4
2012-01-04,3
2012-01-05,5
2012-01-06,3
2012-01-07,1
2012-01-08,0
2012-01-09,3
2012-01-10,7
2012-01-11,8
2012-01-12,5
2012-01-13,8
2012-01-14,0
2012-01-15,3
2012-01-16,5
2012-01-17,2
2012-01-18,8
2012-01-19,2
2012-01-20,4
2012-01-21,0
2012-01-22,2
2012-01-23,4
2012-01-24,2
2012-01-25,2
2012-01-26,5
2012-01-27,5
2012-01-28,0
2012-01-29,2
2012-01-30,5
2012-01-31,6
2012-02-01,4
2012-02-02,24
2012-02-03,8
2012-02-04,4
2012-02-05,5
2012-02-06,4
2012-02-07,5
2012-02-08,1
2012-02-09,5
2012-02-10,10
2012-02-11,3
2012-02-12,4
2012-02-13,5
2012-02-14,12
2012-02-15,4
2012-02-16,11
2012-02-17,12
2012-02-18,5
2012-02-19,2
2012-02-20,6
2012-02-21,16
2012-02-22,4
2012-02-23,8
2012-02-24,5
2012-02-25,5
2012-02-26,9
2012-02-27,12
2012-02-28,12
2012-02-29,5
2012-03-01,4
2012-03-02,4
2012-03-03,4
2012-03-04,5
2012-03-05,11
2012-03-06,6
2012-03-07,17
2012-03-08,9
2012-03-09,4
2012-03-10,3
2012-03-11,4
2012-03-12,10
2012-03-13,17
2012-03-14,5
2012-03-15,8
2012-03-16,5
2012-03-17,9
2012-03-18,7
2012-03-19,3
2012-03-20,15
2012-03-21,1
2012-03-22,9
2012-03-23,3
2012-03-24,1
2012-03-25,3
2012-03-26,9
2012-03-27,15
2012-03-28,10
2012-03-29,3
2012-03-30,9
2012-03-31,6
2012-04-01,3
2012-04-02,34
2012-04-03,17
2012-04-04,12
2012-04-05,11
2012-04-06,126
2012-04-07,8
2012-04-08,8
2012-04-09,4
2012-04-10,8
2012-04-11,18
2012-04-12,19
2012-04-13,11
2012-04-14,17
2012-04-15,0
2012-04-16,14
2012-04-17,16
2012-04-18,16
2012-04-19,22
2012-04-20,14
2012-04-21,10
2012-04-22,5
2012-04-23,9
2012-04-24,29
2012-04-25,15
2012-04-26,23
2012-04-27,8
2012-04-28,3
2012-04-29,2
2012-04-30,14
2012-05-01,15
2012-05-02,5
2012-05-03,21
2012-05-04,15
2012-05-05,11
2012-05-06,7
2012-05-07,16
2012-05-08,22
2012-05-09,12
2012-05-10,16
2012-05-11,22
2012-05-12,5
2012-05-13,9
2012-05-14,11
2012-05-15,11
2012-05-16,18
2012-05-17,16
2012-05-18,22
2012-05-19,4
2012-05-20,7
2012-05-21,12
2012-05-22,15
2012-05-23,17
2012-05-24,12
2012-05-25,8
2012-05-26,7
2012-05-27,10
2012-05-28,3
2012-05-29,22
2012-05-30,19
2012-05-31,8
2012-06-01,12
2012-06-02,6
2012-06-03,8
2012-06-04,14
2012-06-05,24
2012-06-06,24
2012-06-07,26
2012-06-08,21
2012-06-09,12
2012-06-10,6
2012-06-11,16
2012-06-12,19
2012-06-13,36
2012-06-14,29
2012-06-15,23
2012-06-16,9
2012-06-17,10
2012-06-18,20
2012-06-19,20
2012-06-20,15
2012-06-21,12
2012-06-22,20
2012-06-23,17
2012-06-24,8
2012-06-25,29
2012-06-26,51
2012-06-27,33
2012-06-28,26
2012-06-29,20
2012-06-30,8
2012-07-01,8
2012-07-02,33
2012-07-03,23
2012-07-04,26
2012-07-05,23
2012-07-06,23
2012-07-07,23
2012-07-08,28
2012-07-09,29
2012-07-10,37
2012-07-11,28
2012-07-12,37
2012-07-13,44
2012-07-14,15
2012-07-15,7
2012-07-16,45
2012-07-17,47
2012-07-18,62
2012-07-19,30
2012-07-20,28
2012-07-21,16
2012-07-22,24
2012-07-23,30
2012-07-24,33
2012-07-25,40
2012-07-26,27
2012-07-27,32
2012-07-28,19
2012-07-29,16
2012-07-30,27
2012-07-31,22
2012-08-01,44
2012-08-02,49
2012-08-03,41
2012-08-04,30
2012-08-05,22
2012-08-06,42
2012-08-07,24
2012-08-08,41
2012-08-09,44
2012-08-10,39
2012-08-11,16
2012-08-12,22
2012-08-13,37
2012-08-14,40
2012-08-15,22
2012-08-16,54
2012-08-17,71
2012-08-18,55
2012-08-19,48
2012-08-20,31
2012-08-21,56
2012-08-22,51
2012-08-23,40
2012-08-24,48
2012-08-25,31
2012-08-26,29
2012-08-27,67
2012-08-28,50
2012-08-29,40
2012-08-30,33
2012-08-31,49
2012-09-01,34
2012-09-02,27
2012-09-03,44
2012-09-04,56
2012-09-05,49
2012-09-06,60
2012-09-07,50
2012-09-08,35
2012-09-09,30
2012-09-10,33
2012-09-11,75
2012-09-12,35
2012-09-13,42
2012-09-14,36
2012-09-15,27
2012-09-16,32
2012-09-17,31
2012-09-18,64
2012-09-19,58
2012-09-20,40
2012-09-21,43
2012-09-22,28
2012-09-23,48
2012-09-24,69
2012-09-25,42
2012-09-26,47
2012-09-27,53
2012-09-28,47
2012-09-29,26
2012-09-30,15
2012-10-01,32
2012-10-02,57
2012-10-03,48
2012-10-04,62
2012-10-05,61
2012-10-06,37
2012-10-07,37
2012-10-08,51
2012-10-09,67
2012-10-10,53
2012-10-11,67
2012-10-12,62
2012-10-13,42
2012-10-14,34
2012-10-15,74
2012-10-16,45
2012-10-17,55
2012-10-18,65
2012-10-19,56
2012-10-20,15
2012-10-21,33
2012-10-22,55
2012-10-23,75
2012-10-24,71
2012-10-25,55
2012-10-26,49
2012-10-27,35
2012-10-28,39
2012-10-29,76
2012-10-30,67
2012-10-31,100
2012-11-01,54
2012-11-02,73
2012-11-03,54
2012-11-04,49
2012-11-05,72
2012-11-06,62
2012-11-07,93
2012-11-08,71
2012-11-09,55
2012-11-10,31
2012-11-11,17
2012-11-12,41
2012-11-13,56
2012-11-14,39
2012-11-15,77
2012-11-16,103
2012-11-17,37
2012-11-18,32
2012-11-19,84
2012-11-20,63
2012-11-21,50
2012-11-22,115
2012-11-23,60
2012-11-24,49
2012-11-25,37
2012-11-26,80
2012-11-27,69
2012-11-28,70
2012-11-29,77
2012-11-30,76
2012-12-01,33
2012-12-02,29
2012-12-03,72
2012-12-04,84
2012-12-05,82
2012-12-06,76
2012-12-07,84
2012-12-08,38
2012-12-09,35
2012-12-10,53
2012-12-11,74
2012-12-12,77
2012-12-13,76
2012-12-14,71
2012-12-15,33
2012-12-16,33
2012-12-17,80
2012-12-18,92
2012-12-19,83
2012-12-20,50
2012-12-21,42
2012-12-22,36
2012-12-23,36
2012-12-24,48
2012-12-25,33
2012-12-26,39
2012-12-27,70
2012-12-28,67
2012-12-29,40
2012-12-30,38
2012-12-31,42
2013-01-01,43
2013-01-02,60
2013-01-03,53
2013-01-04,72
2013-01-05,53
2013-01-06,35
2013-01-07,80
2013-01-08,76
2013-01-09,67
2013-01-10,65
2013-01-11,87
2013-01-12,52
2013-01-13,41
2013-01-14,57
2013-01-15,96
2013-01-16,92
2013-01-17,83
2013-01-18,94
2013-01-19,55
2013-01-20,74
2013-01-21,107
2013-01-22,84
2013-01-23,125
2013-01-24,115
2013-01-25,103
2013-01-26,48
2013-01-27,60
2013-01-28,91
2013-01-29,97
2013-01-30,101
2013-01-31,74
2013-02-01,129
2013-02-02,72
2013-02-03,55
2013-02-04,77
2013-02-05,95
2013-02-06,86
2013-02-07,84
2013-02-08,88
2013-02-09,72
2013-02-10,78
2013-02-11,104
2013-02-12,103
2013-02-13,107
2013-02-14,153
2013-02-15,106
2013-02-16,129
2013-02-17,119
2013-02-18,145
2013-02-19,166
2013-02-20,137
2013-02-21,127
2013-02-22,155
2013-02-23,94
2013-02-24,89
2013-02-25,76
2013-02-26,147
2013-02-27,155
2013-02-28,205
2013-03-01,156
2013-03-02,127
2013-03-03,127
2013-03-04,161
2013-03-05,246
2013-03-06,305
2013-03-07,340
2013-03-08,193
2013-03-09,217
2013-03-10,138
2013-03-11,142
2013-03-12,288
2013-03-13,256
2013-03-14,236
2013-03-15,162
2013-03-16,121
2013-03-17,111
2013-03-18,166
2013-03-19,316
2013-03-20,299
2013-03-21,298
2013-03-22,323
2013-03-23,221
2013-03-24,205
2013-03-25,215
2013-03-26,322
2013-03-27,340
2013-03-28,389
2013-03-29,290
2013-03-30,210
2013-03-31,159
2013-04-01,244
2013-04-02,384
2013-04-03,430
2013-04-04,394
2013-04-05,402
2013-04-06,246
2013-04-07,237
2013-04-08,551
2013-04-09,657
2013-04-10,712
2013-04-11,951
2013-04-12,813
2013-04-13,458
2013-04-14,317
2013-04-15,556
2013-04-16,797
2013-04-17,609
2013-04-18,466
2013-04-19,638
2013-04-20,333
2013-04-21,426
2013-04-22,503
2013-04-23,588
2013-04-24,633
2013-04-25,492
2013-04-26,495
2013-04-27,462
2013-04-28,335
2013-04-29,405
2013-04-30,348
2013-05-01,553
2013-05-02,444
2013-05-03,528
2013-05-04,359
2013-05-05,362
2013-05-06,432
2013-05-07,406
2013-05-08,362
2013-05-09,372
2013-05-10,431
2013-05-11,381
2013-05-12,234
2013-05-13,307
2013-05-14,367
2013-05-15,562
2013-05-16,455
2013-05-17,511
2013-05-18,436
2013-05-19,291
2013-05-20,340
2013-05-21,402
2013-05-22,460
2013-05-23,571
2013-05-24,470
2013-05-25,321
2013-05-26,265
2013-05-27,380
2013-05-28,386
2013-05-29,372
2013-05-30,354
2013-05-31,334
2013-06-01,317
2013-06-02,406
2013-06-03,387
2013-06-04,372
2013-06-05,320
2013-06-06,339
2013-06-07,466
2013-06-08,266
2013-06-09,446
2013-06-10,399
2013-06-11,523
2013-06-12,390
2013-06-13,305
2013-06-14,332
2013-06-15,199
2013-06-16,237
2013-06-17,267
2013-06-18,337
2013-06-19,346
2013-06-20,326
2013-06-21,441
2013-06-22,230
2013-06-23,238
2013-06-24,387
2013-06-25,311
2013-06-26,328
2013-06-27,330
2013-06-28,308
2013-06-29,181
2013-06-30,198
2013-07-01,442
2013-07-02,368
2013-07-03,439
2013-07-04,449
2013-07-05,374
2013-07-06,337
2013-07-07,232
2013-07-08,327
2013-07-09,409
2013-07-10,473
2013-07-11,485
2013-07-12,459
2013-07-13,297
2013-07-14,267
2013-07-15,407
2013-07-16,423
2013-07-17,405
2013-07-18,419
2013-07-19,393
2013-07-20,214
2013-07-21,273
2013-07-22,387
2013-07-23,368
2013-07-24,406
2013-07-25,453
2013-07-26,406
2013-07-27,294
2013-07-28,238
2013-07-29,480
2013-07-30,463
2013-07-31,502
2013-08-01,465
2013-08-02,426
2013-08-03,274
2013-08-04,217
2013-08-05,425
2013-08-06,443
2013-08-07,358
2013-08-08,413
2013-08-09,341
2013-08-10,302
2013-08-11,293
2013-08-12,304
2013-08-13,450
2013-08-14,568
2013-08-15,406
2013-08-16,413
2013-08-17,384
2013-08-18,260
2013-08-19,524
2013-08-20,604
2013-08-21,600
2013-08-22,638
2013-08-23,534
2013-08-24,374
2013-08-25,344
2013-08-26,449
2013-08-27,655
2013-08-28,583
2013-08-29,481
2013-08-30,689
2013-08-31,490
2013-09-01,287
2013-09-02,441
2013-09-03,638
2013-09-04,738
2013-09-05,708
2013-09-06,665
2013-09-07,397
2013-09-08,313
2013-09-09,466
2013-09-10,631
2013-09-11,745
2013-09-12,617
2013-09-13,607
2013-09-14,316
2013-09-15,412
2013-09-16,506
2013-09-17,603
2013-09-18,688
2013-09-19,600
2013-09-20,439
2013-09-21,307
2013-09-22,345
2013-09-23,532
2013-09-24,642
2013-09-25,556
2013-09-26,580
2013-09-27,544
2013-09-28,400
2013-09-29,441
2013-09-30,591
2013-10-01,590
2013-10-02,595
2013-10-03,509
2013-10-04,336
2013-10-05,334
2013-10-06,331
2013-10-07,455
2013-10-08,513
2013-10-09,502
2013-10-10,633
2013-10-11,549
2013-10-12,420
2013-10-13,424
2013-10-14,670
2013-10-15,628
2013-10-16,635
2013-10-17,541
2013-10-18,642
2013-10-19,736
2013-10-20,573
2013-10-21,781
2013-10-22,2052
2013-10-23,1013
2013-10-24,1079
2013-10-25,835
2013-10-26,475
2013-10-27,474
2013-10-28,786
2013-10-29,703
2013-10-30,625
2013-10-31,1095
2013-11-01,670
2013-11-02,596
2013-11-03,590
2013-11-04,980
2013-11-05,1216
2013-11-06,1235
2013-11-07,1537
2013-11-08,1309
2013-11-09,1217
2013-11-10,1144
2013-11-11,1135
2013-11-12,1326
2013-11-13,1495
2013-11-14,1630
2013-11-15,1366
2013-11-16,1047
2013-11-17,1169
2013-11-18,2234
2013-11-19,1969
2013-11-20,1923
2013-11-21,2130
2013-11-22,1902
2013-11-23,1743
2013-11-24,1354
2013-11-25,1817
2013-11-26,2149
2013-11-27,2659
2013-11-28,2668
2013-11-29,2483
2013-11-30,2031
2013-12-01,2123
2013-12-02,2034
2013-12-03,1888
2013-12-04,2059
2013-12-05,2421
2013-12-06,1920
2013-12-07,2647
2013-12-08,1490
2013-12-09,1766
2013-12-10,1796
2013-12-11,1917
2013-12-12,1493
2013-12-13,1476
2013-12-14,1125
2013-12-15,1112
2013-12-16,2445
2013-12-17,2500
2013-12-18,3705
2013-12-19,2739
2013-12-20,1890
2013-12-21,1339
2013-12-22,1326
2013-12-23,1522
2013-12-24,1379
2013-12-25,1108
2013-12-26,1578
2013-12-27,1655
2013-12-28,1248
2013-12-29,1164
2013-12-30,1314
2013-12-31,1265
2014-01-01,1042
2014-01-02,1625
2014-01-03,1835
2014-01-04,1432
2014-01-05,1698
2014-01-06,1971
