t,derivatives_futures_funding_rate_perpetual
2020-10-18,3.334255017439262e-05
2020-10-19,6.239045986281173e-05
2020-10-20,8.845409204866383e-06
2020-10-21,7.695022500619311e-05
2020-10-22,6.805750540356407e-05
2020-10-23,0.00011559246402229226
2020-10-24,9.006607482536311e-05
2020-10-25,7.891404277906712e-05
2020-10-26,7.281155245961086e-05
2020-10-27,4.413320749984919e-05
2020-10-28,-6.297984225107578e-05
2020-10-29,-2.1817563567895948e-05
2020-10-30,-4.4898957417016106e-05
2020-10-31,2.7369753464629886e-05
2020-11-01,3.969735511619485e-05
2020-11-02,-7.41520775190494e-05
2020-11-03,-3.1947129747927704e-05
2020-11-04,8.537011442735082e-05
2020-11-05,8.371389466943003e-05
2020-11-06,0.00027217915141807605
2020-11-07,0.00035037697772746367
2020-11-08,0.0001608987894371471
2020-11-09,0.00015319462916726524
2020-11-10,8.253071638611097e-05
2020-11-11,0.0001484083120431437
2020-11-12,0.00010221427923145103
2020-11-13,6.483530836698311e-05
2020-11-14,4.793134067904897e-05
2020-11-15,7.305969320175672e-05
2020-11-16,0.00019774842436652112
2020-11-17,8.959826900780574e-05
