t,derivatives_futures_open_interest_all_sum
2020-10-18,187379.63179903515
2020-10-19,198009.13508443866
2020-10-20,203072.59095704023
2020-10-21,198300.10173868737
2020-10-22,202882.46964021015
2020-10-23,207699.9106679574
2020-10-24,212581.84481737376
2020-10-25,207447.72614439382
2020-10-26,207308.66315799838
2020-10-27,207883.70562373992
2020-10-28,198325.8155001301
2020-10-29,207041.2772024807
2020-10-30,203984.36118920485
2020-10-31,210482.34685248378
2020-11-01,209916.46232030535
2020-11-02,206370.15078611328
2020-11-03,205326.79736307974
2020-11-04,207833.42393609957
2020-11-05,195744.50134072467
2020-11-06,195440.9669560687
2020-11-07,189362.50550379732
2020-11-08,192240.673181122
2020-11-09,193735.02763639833
2020-11-10,194763.501143082
2020-11-11,205057.00331357468
2020-11-12,208406.90189702352
2020-11-13,205609.5234679714
2020-11-14,201555.8090907893
2020-11-15,203675.39462322652
2020-11-16,209346.06583142435
2020-11-17,202642.1024749646
