t,crossed,ma30,ma60
2010-01-01,0.0,6672972.583637478,5261819.520708313
2010-01-02,0.0,6698126.205344983,5298275.695842963
2010-01-03,0.0,7004447.150285212,5428319.361202463
2010-01-04,0.0,7251537.246081468,5556567.160080376
2010-01-05,0.0,7466137.367981543,5699913.112272438
2010-01-06,0.0,7602396.034779408,5801840.982485959
2010-01-07,0.0,7729685.678921208,5894210.861456734
2010-01-08,0.0,7870342.659219286,5990859.812872461
2010-01-09,0.0,7996507.999250071,6074436.026465992
2010-01-10,0.0,8178822.06506989,6207818.1455919435
2010-01-11,0.0,8311221.087518996,6308537.7586486
2010-01-12,0.0,8467314.777520152,6414257.80701017
2010-01-13,0.0,8651345.701668542,6524793.62605711
2010-01-14,0.0,8784631.413279582,6605440.582683426
2010-01-15,0.0,8859526.22885145,6673449.864101285
2010-01-16,0.0,8852206.867729403,6732966.52653216
2010-01-17,0.0,8763208.55396154,6809333.788977622
2010-01-18,0.0,8704123.448086284,6886503.501374197
2010-01-19,0.0,8680361.069126874,6949795.233595248
2010-01-20,0.0,8733111.969238883,7059144.494157618
2010-01-21,0.0,8843184.583558965,7161114.641957412
2010-01-22,0.0,8876281.073296966,7224636.676224041
2010-01-23,0.0,8967791.517593361,7320706.176107973
2010-01-24,0.0,9051175.331544938,7412558.378670398
2010-01-25,0.0,9227203.500345012,7573796.415594858
2010-01-26,0.0,9382667.156762304,7730850.326969778
2010-01-27,0.0,9548553.293233939,7852971.2593255555
2010-01-28,0.0,9663696.239295773,8000061.363635837
2010-01-29,0.0,9838069.250117984,8157321.398471461
2010-01-30,0.0,10033926.500034278,8331827.497410094
2010-01-31,0.0,10202841.745693596,8437907.164665537
2010-02-01,0.0,10438894.143211273,8568510.174278129
2010-02-02,0.0,10399213.708168114,8701830.429226663
2010-02-03,0.0,10629425.768739212,8940481.507410338
2010-02-04,0.0,10749614.335393736,9107875.85168764
2010-02-05,0.0,11105847.69870722,9354121.86674331
2010-02-06,0.0,11380825.818075243,9555255.748498226
2010-02-07,0.0,11741399.8427018,9805871.250960546
2010-02-08,0.0,12037500.63328232,10017004.316266196
2010-02-09,0.0,12282873.650074657,10230847.857572274
2010-02-10,0.0,12478655.379668511,10394938.233593756
2010-02-11,0.0,12639340.320391893,10553327.548956025
2010-02-12,0.0,12842324.076341948,10746834.889005246
2010-02-13,0.0,13223718.518390993,11004174.96583529
2010-02-14,0.0,13551800.610199954,11205663.419525703
2010-02-15,0.0,14016915.096971177,11434560.982350288
2010-02-16,0.0,14547576.73275148,11655392.64335651
2010-02-17,0.0,15281237.039762381,11992680.24392433
2010-02-18,0.0,15884900.908592885,12282630.988859879
2010-02-19,0.0,16347126.87965669,12540119.424447784
2010-02-20,0.0,16838279.740109343,12840732.161834154
2010-02-21,0.0,17481917.885264732,13179099.479280848
2010-02-22,0.0,18229178.21985559,13598484.868724473
2010-02-23,0.0,18933567.313223515,13992371.322384225
2010-02-24,0.0,19382738.23453516,14304970.867440084
2010-02-25,0.0,19912964.625328697,14647815.891045498
2010-02-26,0.0,20631234.7095489,15089894.001391416
2010-02-27,0.0,21325243.969494324,15494470.104395045
2010-02-28,0.0,21863464.95772873,15850767.103923352
2010-03-01,0.0,22601574.05661257,16317750.278323421
2010-03-02,0.0,23411831.734899588,16807336.740296587
2010-03-03,0.0,23951447.48964115,17195170.81642621
2010-03-04,0.0,24792241.240540486,17595727.474354297
2010-03-05,0.0,25287952.13380556,17958688.951272383
2010-03-06,0.0,25858021.48696165,18303817.911177687
2010-03-07,0.0,26306251.37028612,18706049.53449666
2010-03-08,0.0,26658354.53148462,19019590.174779925
2010-03-09,0.0,27091104.89353735,19416252.36811957
2010-03-10,0.0,27718050.49843422,19877775.56585826
2010-03-11,0.0,28093220.384517156,20188047.0172959
2010-03-12,0.0,28496455.85431029,20487555.616989397
2010-03-13,0.0,29139191.958438575,20889266.13941523
2010-03-14,0.0,29522377.197195664,21182350.636768803
2010-03-15,0.0,29842482.66214602,21533100.590268504
2010-03-16,0.0,30154634.478564333,21853217.544382144
2010-03-17,0.0,30442151.47548976,22229533.286230467
2010-03-18,0.0,30641661.412234604,22594619.072493043
2010-03-19,0.0,30779191.385990802,23030214.212876596
2010-03-20,0.0,31290409.63839879,23587655.27349584
