t,o
2010-01-01,"{'1d_1w': 0.0285381479324403, '1m_3m': 0.135579119026454, '1w_1m': 0.0963737240597125, '1y_2y': 0, '24h': 0.00410753149618367, '2y_3y': 0, '3m_6m': 0.162278018575851, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.573092805689238, '7y_10y': 0, 'more_10y': 0}"
2010-01-02,"{'1d_1w': 0.0272077684133382, '1m_3m': 0.135947160131916, '1w_1m': 0.0992732380603396, '1y_2y': 0, '24h': 0.00384756320996702, '2y_3y': 0, '3m_6m': 0.160345541712471, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.573378728471968, '7y_10y': 0, 'more_10y': 0}"
2010-01-03,"{'1d_1w': 0.0256573753567742, '1m_3m': 0.134572101779316, '1w_1m': 0.103176049067833, '1y_2y': 3.03637578186676e-05, '24h': 0.00564765895427218, '2y_3y': 0, '3m_6m': 0.158832689621668, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.572083761462319, '7y_10y': 0, 'more_10y': 0}"
2010-01-04,"{'1d_1w': 0.0269968292314661, '1m_3m': 0.134800259701042, '1w_1m': 0.0923146610297448, '1y_2y': 3.01977955609241e-05, '24h': 0.0180307111580855, '2y_3y': 0, '3m_6m': 0.156786827721576, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.571040513362525, '7y_10y': 0, 'more_10y': 0}"
2010-01-05,"{'1d_1w': 0.0396267823372257, '1m_3m': 0.134599423648426, '1w_1m': 0.0949479182301204, '1y_2y': 3.00183111698136e-05, '24h': 0.00594362561162309, '2y_3y': 0, '3m_6m': 0.154894359559331, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.569957872302104, '7y_10y': 0, 'more_10y': 0}"
2010-01-06,"{'1d_1w': 0.0411365455848966, '1m_3m': 0.134541480463616, '1w_1m': 0.0964571633409009, '1y_2y': 2.98721472099414e-05, '24h': 0.00486915999522046, '2y_3y': 0, '3m_6m': 0.153512839048871, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.569452939419286, '7y_10y': 0, 'more_10y': 0}"
2010-01-07,"{'1d_1w': 0.0417510258697591, '1m_3m': 0.134163264942016, '1w_1m': 0.0979185251263753, '1y_2y': 2.97353553374963e-05, '24h': 0.00457924472197443, '2y_3y': 0, '3m_6m': 0.152453041926851, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.569105162057687, '7y_10y': 0, 'more_10y': 0}"
2010-01-08,"{'1d_1w': 0.0421539531717136, '1m_3m': 0.133498226918865, '1w_1m': 0.099574934138472, '1y_2y': 2.96006867359323e-05, '24h': 0.00452890507059764, '2y_3y': 0, '3m_6m': 0.151525791078353, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.568688588935263, '7y_10y': 0, 'more_10y': 0}"
2010-01-09,"{'1d_1w': 0.0427620380739082, '1m_3m': 0.133228343254553, '1w_1m': 0.100899982318618, '1y_2y': 0.000412565568456415, '24h': 0.00444981434549419, '2y_3y': 0, '3m_6m': 0.150497901809395, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.567749354629575, '7y_10y': 0, 'more_10y': 0}"
2010-01-10,"{'1d_1w': 0.0414982710116047, '1m_3m': 0.134010391513304, '1w_1m': 0.102975618333138, '1y_2y': 0.00219786660414957, '24h': 0.00556792873051225, '2y_3y': 0, '3m_6m': 0.149073842456922, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.564676081350369, '7y_10y': 0, 'more_10y': 0}"
2010-01-11,"{'1d_1w': 0.0294314966601523, '1m_3m': 0.134672304057405, '1w_1m': 0.117347577516553, '1y_2y': 0.00490038794737917, '24h': 0.00463786716448385, '2y_3y': 0, '3m_6m': 0.148528302657294, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.560482063996733, '7y_10y': 0, 'more_10y': 0}"
2010-01-12,"{'1d_1w': 0.0273212937692352, '1m_3m': 0.130566476975785, '1w_1m': 0.119041490041229, '1y_2y': 0.00762963823239069, '24h': 0.0108588351431392, '2y_3y': 0, '3m_6m': 0.147552285000871, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.55702998083735, '7y_10y': 0, 'more_10y': 0}"
