t,indicators_hodled_lost_coins
2010-01-01,1616534.0847374597
2010-01-02,1622842.4896062256
2010-01-03,1632198.5034198528
2010-01-04,1639507.4117507366
2010-01-05,1647175.2367689812
2010-01-06,1655435.03786491
2010-01-07,1663224.4546331437
2010-01-08,1670958.137889876
2010-01-09,1678590.5222827448
2010-01-10,1688171.1007640278
2010-01-11,1696221.4790121007
2010-01-12,1703371.4616246307
2010-01-13,1709025.0620880486
2010-01-14,1716257.1926994158
2010-01-15,1723346.8146360593
2010-01-16,1729675.404044959
2010-01-17,1736290.4029395145
2010-01-18,1742618.3847508605
2010-01-19,1748891.1290498513
2010-01-20,1756864.1996689502
2010-01-21,1765705.6931730267
2010-01-22,1772455.2097940606
2010-01-23,1780530.4927911023
2010-01-24,1788321.0395260258
2010-01-25,1798919.5972480052
2010-01-26,1808739.4578871375
2010-01-27,1817039.3727292744
2010-01-28,1825968.2988413584
2010-01-29,1835901.0346440822
2010-01-30,1846477.7018941545
2010-01-31,1854712.366079
2010-02-01,1863983.285310435
2010-02-02,1871321.6489898646
2010-02-03,1884884.5241825928
2010-02-04,1896458.6506968848
2010-02-05,1905970.675898288
2010-02-06,1915570.1091441626
2010-02-07,1926511.9077556909
2010-02-08,1936058.9714091402
2010-02-09,1943575.8223104554
2010-02-10,1939532.7175147745
2010-02-11,1945742.7925336703
2010-02-12,1954868.3187635862
2010-02-13,1966573.0560326236
2010-02-14,1976837.173303175
2010-02-15,1985725.4758001158
2010-02-16,1995498.0929667442
2010-02-17,2006932.6603505746
2010-02-18,2016531.7818380333
2010-02-19,2026276.0880160166
2010-02-20,2036861.4368181084
2010-02-21,2048153.857893614
2010-02-22,2059550.0301469474
2010-02-23,2072010.929787063
2010-02-24,2080000.661124521
2010-02-25,2087398.2530684506
2010-02-26,2095668.501564466
2010-02-27,2104164.24193538
2010-02-28,2111788.126199639
2010-03-01,2121275.842143486
2010-03-02,2130804.088690327
2010-03-03,2138538.8622744964
2010-03-04,2146316.819075291
2010-03-05,2147852.778144005
2010-03-06,2156351.870668686
