t,volumes
2011-08-18,{'other': 7.08243195898143}
2011-10-06,{'other': 4.18755879241732}
2011-10-09,{'other': 0.505099455381958}
2011-12-07,{'other': 15}
2011-12-12,{'other': 5.9422113848933}
2011-12-13,{'other': 1.47837900341776}
2011-12-14,{'other': 1.924}
2011-12-16,{'other': 2.814417707863}
2011-12-18,{'other': 2.3311065331414}
2011-12-27,{'other': 1.76178644915121}
2011-12-29,{'other': 9.66114455076402}
2012-01-02,{'other': 2.34}
2012-01-04,{'other': 5}
2012-01-06,{'other': 0.0995233822734838}
2012-01-07,{'other': 5.79772115993393}
2012-01-08,{'other': 0.366318909574045}
2012-01-09,{'other': 0.653465346534653}
2012-01-19,{'other': 0.07190235}
2012-01-20,{'other': 5.79}
2012-01-21,{'other': 0.29835}
2012-01-24,{'other': 0.759802786315928}
2012-01-26,{'other': 2.54840514775269}
2012-01-27,{'other': 6.20821379}
2012-01-28,{'other': 0.872456686881033}
2012-01-31,{'other': 14.64827754}
2012-02-01,{'other': 1.41269215849093}
2012-02-02,{'other': 3.59416446319973}
2012-02-03,{'other': 13.7858299495584}
2012-02-05,{'other': 28.654811841646}
2012-02-06,{'other': 10.76261168}
2012-02-09,{'other': 0.803206409047619}
2012-02-13,{'other': 0.0043495791905238}
2012-02-14,{'other': 0.919641252043662}
2012-02-15,{'other': 1.00847575080068}
2012-02-16,{'other': 0.120980304696765}
2012-02-17,{'other': 7}
2012-02-18,{'other': 0.113701363636364}
2012-02-20,{'other': 1.80924362539319}
2012-02-22,{'other': 0.6766}
2012-02-23,{'other': 0.703061017252216}
2012-02-24,{'other': 1.99664517100176}
2012-02-29,{'other': 2.5154384325438}
2012-03-04,{'other': 0.126556078386638}
2012-03-08,{'other': 32.1363025740726}
2012-03-09,{'other': 0.28567966893827}
2012-03-14,{'other': 3.43818298344465}
2012-03-17,{'other': 0.476453160156928}
2012-03-19,{'other': 97.6334073639973}
2012-03-22,{'other': 300.072}
2012-03-24,{'other': 0.171789879237908}
2012-03-25,{'other': 0.3}
2012-03-26,{'other': 0.4}
2012-03-27,{'other': 0.2}
2012-03-28,{'other': 0.886005111669715}
2012-03-29,{'other': 0.318903063153513}
2012-03-30,{'other': 3.25186707574899}
2012-03-31,{'other': 0.184728817230392}
2012-04-01,{'other': 0.2}
2012-04-02,{'other': 0.4}
2012-04-03,{'other': 0.195080372680588}
2012-04-05,{'other': 0.486786400433909}
2012-04-06,{'other': 0.4}
2012-04-07,{'other': 0.2}
2012-04-08,{'other': 1}
2012-04-09,{'other': 0.4}
2012-04-10,{'other': 0.4}
2012-04-11,{'other': 0.2}
2012-04-16,{'other': 0.100579326136917}
2012-04-28,{'other': 4.01544876552797}
2012-05-05,{'other': 0.305848685446302}
2012-05-16,{'other': 1}
2012-05-18,{'other': 1}
2012-05-19,{'other': 1.15471782}
2012-05-20,{'other': 0.0486068987704729}
2012-05-25,{'other': 0.0917415599938327}
2012-05-26,{'other': 0.0415741434859361}
2012-05-28,{'other': 2}
2012-06-02,{'other': 3.84328081432304}
2012-06-04,{'other': 1.57215094343675}
2012-06-05,{'other': 2}
2012-06-09,{'other': 1.53372066374799}
2012-06-12,{'other': 0.469606500662671}
2012-06-13,{'other': 0.839148593010494}
2012-06-17,{'other': 0.69015162758963}
2012-06-18,{'other': 5.64309938988017}
2012-06-19,{'other': 100.351705402631}
2012-06-21,{'other': 7.96109385737309}
2012-06-22,{'other': 0.548265665388717}
2012-06-26,{'other': 9.08327143817518}
2012-06-27,{'other': 0.195490769489173}
2012-06-28,{'other': 21.6007348880216}
2012-06-30,{'other': 1.36881463291995}
2012-07-03,{'other': 50.0503415913901}
2012-07-07,{'other': 54.024693583657}
2012-07-09,{'other': 101.771613079045}
2012-07-10,{'other': 25.3203901311004}
2012-07-11,{'other': 0.70166803873183}
2012-07-12,{'other': 1.441}
2012-07-13,{'other': 5.31085456236478e-05}
2012-07-14,{'other': 50.0111466531157}
2012-07-15,{'other': 10.1393285025538}
2012-07-16,{'other': 61.5518648037269}
2012-07-19,{'other': 50.0522930578486}
2012-07-20,{'other': 14.908583330234}
2012-07-22,{'other': 50.0302822377269}
2012-07-24,{'other': 104.379514447191}
2012-07-27,{'other': 99.9017988397215}
2012-07-28,{'other': 38.1553302567482}
2012-07-29,{'other': 100}
2012-08-03,{'other': 30.6093824344852}
2012-08-04,{'other': 0.339875141978254}
2012-08-06,{'other': 4.74496613391774}
2012-08-08,{'other': 10.2449363922601}
2012-08-09,{'other': 6.1110224658973}
2012-08-13,{'other': 49.8932861034815}
2012-08-14,{'other': 105.738957403475}
2012-08-15,{'other': 49.9437883825514}
2012-08-16,{'other': 100.342284209416}
2012-08-17,{'other': 8.08994056250546}
2012-08-19,{'other': 63.3159975918102}
2012-08-20,{'other': 199.940824511802}
2012-08-21,{'other': 0.444353596686231}
2012-08-22,{'other': 0.786926909843488}
2012-08-23,{'other': 9}
2012-08-24,{'other': 120.000524648446}
2012-08-25,{'other': 0.406192738487623}
2012-08-27,{'SlushPool': 6.64654818}
2012-08-28,"{'SlushPool': 10.27858767, 'other': 18.7526077000772}"
2012-08-29,"{'SlushPool': 4.84531774, 'other': 49.9389568094569}"
2012-08-30,"{'SlushPool': 7.67550478, 'other': 3.95772977621518}"
2012-08-31,{'SlushPool': 7.87259973}
2012-09-01,"{'SlushPool': 2.73894481, 'other': 0.418777432233148}"
2012-09-02,"{'SlushPool': 9.66088851, 'other': 13.05325332}"
2012-09-03,"{'SlushPool': 4.80904085, 'other': 2.94513126214425e-11}"
2012-09-04,"{'SlushPool': 9.38696159, 'other': 1.11955308}"
2012-09-05,"{'SlushPool': 6.2311513, 'other': 0.01210086}"
2012-09-06,{'SlushPool': 11.95664195}
2012-09-07,{'SlushPool': 7.56618062}
2012-09-08,{'SlushPool': 9.93743606}
2012-09-09,{'SlushPool': 10.47019302}
2012-09-10,"{'SlushPool': 8.86759313, 'other': 0.154702007007703}"
2012-09-11,{'SlushPool': 4.81627012}
2012-09-12,"{'SlushPool': 10.90113181, 'other': 1.09202471}"
2012-09-13,"{'SlushPool': 9.79662982, 'other': 60.7890064769437}"
2012-09-14,{'SlushPool': 11.62970246}
2012-09-15,{'SlushPool': 7.38160504}
2012-09-16,"{'SlushPool': 11.42704819, 'other': 0.487687458487695}"
2012-09-17,{'SlushPool': 7.97606436}
2012-09-18,"{'BitMinter': 1.00557405, 'SlushPool': 4.66786203, 'other': 20}"
2012-09-19,"{'SlushPool': 5.49589992, 'other': 38.7087087465457}"
2012-09-20,"{'SlushPool': 11.24316393, 'other': 0.488024179687265}"
2012-09-21,"{'BitMinter': 1.0244262, 'SlushPool': 4.35215615, 'other': 60.0571488722726}"
2012-09-22,"{'SlushPool': 8.33891669, 'other': 8.65012413274867}"
2012-09-23,{'SlushPool': 8.06662082}
2012-09-24,"{'SlushPool': 6.17470147, 'other': 99.9907973699987}"
2012-09-25,"{'SlushPool': 6.30736904, 'other': 1.94781047614275}"
2012-09-26,{'SlushPool': 9.94941679}
2012-09-27,"{'SlushPool': 5.65037352, 'other': 1.28646282387964}"
2012-09-28,{'SlushPool': 13.25929888}
2012-09-29,"{'SlushPool': 9.51666525, 'other': 17.2721138863721}"
2012-09-30,"{'BitMinter': 1.02357522, 'SlushPool': 6.49690327, 'other': 2.46578140409488}"
2012-10-01,"{'SlushPool': 11.39945983, 'other': 5.8339106569361}"
2012-10-02,"{'SlushPool': 3.75510619, 'other': 5.51535362416285}"
2012-10-03,"{'SlushPool': 5.89204023, 'other': 2.1}"
2012-10-04,"{'SlushPool': 10.53546634, 'other': 4.57065736223674}"
2012-10-05,"{'SlushPool': 8.53041712, 'other': 2.76201573987177}"
2012-10-06,"{'SlushPool': 4.4093377, 'other': 3.89540689779933}"
2012-10-07,"{'SlushPool': 7.28518349, 'other': 7.72552976926655}"
2012-10-08,"{'SlushPool': 4.60665183, 'other': 0.57166088}"
2012-10-09,"{'SlushPool': 8.68864055, 'other': 6.02418125}"
2012-10-10,"{'SlushPool': 2.27570273, 'other': 4}"
2012-10-11,"{'SlushPool': 4.08602001, 'other': 5.58294623746452}"
2012-10-12,"{'BitMinter': 1.01412847, 'SlushPool': 5.41210085, 'other': 29.0347206814771}"
2012-10-13,"{'BitMinter': 0.00112886, 'SlushPool': 8.88808583, 'other': 6.86}"
2012-10-14,"{'SlushPool': 1.85255692, 'other': 4}"
2012-10-15,"{'SlushPool': 7.98940887, 'other': 14.1420951757243}"
2012-10-16,{'other': 12.1080459795218}
2012-10-17,"{'SlushPool': 5.48120182, 'other': 6}"
2012-10-18,"{'SlushPool': 4.76708755, 'other': 8.10836619616653}"
2012-10-19,"{'SlushPool': 5.42818725, 'other': 3}"
2012-10-20,"{'SlushPool': 3.95479267, 'other': 0.502245931372751}"
2012-10-21,{'other': 6.18634251731611}
2012-10-22,"{'SlushPool': 2.3467527, 'other': 1.18231325739094}"
2012-10-23,"{'BitMinter': 0.00145291, 'SlushPool': 1.43316382, 'other': 5.63403807725514}"
2012-10-24,"{'SlushPool': 2.07726822, 'other': 3}"
2012-10-25,"{'SlushPool': 2.11073265, 'other': 15.3786327402278}"
2012-10-26,"{'BitMinter': 0.00112276, 'SlushPool': 3.74061849, 'other': 6.47052508540614}"
2012-10-27,"{'SlushPool': 2.17704625, 'other': 7.70725167241526}"
2012-10-28,"{'SlushPool': 5.97884428, 'other': 3}"
2012-10-29,"{'BitMinter': 0.00111777, 'SlushPool': 3.33364994, 'other': 60.0563258829306}"
2012-10-30,"{'SlushPool': 2.28357524, 'other': 6}"
2012-10-31,"{'SlushPool': 2.16497823, 'other': 2.56488676075262}"
2012-11-01,"{'SlushPool': 4.37477128, 'other': 9}"
2012-11-02,"{'BitMinter': 1.01235837, 'SlushPool': 5.81629016, 'other': 5.7848902847315}"
2012-11-03,"{'SlushPool': 6.63013576, 'other': 6}"
2012-11-04,"{'BitMinter': 0.50023123, 'SlushPool': 10.7027611, 'other': 13.1584458047068}"
2012-11-05,"{'SlushPool': 4.2307413, 'other': 46.0914407553445}"
2012-11-06,"{'BitMinter': 1.52813287, 'SlushPool': 0.2613284}"
2012-11-07,"{'SlushPool': 6.58642272, 'other': 3.01047}"
2012-11-08,"{'SlushPool': 9.1471566, 'other': 6.12992304081279}"
2012-11-09,"{'BitMinter': 0.50002167, 'SlushPool': 4.57256939, 'other': 11.9709187041527}"
2012-11-10,"{'SlushPool': 6.7293213, 'other': 0.32069108}"
2012-11-11,"{'SlushPool': 2.46851524, 'other': 10.9985525974863}"
2012-11-12,"{'SlushPool': 5.34128169, 'other': 5.59701634582099}"
2012-11-13,"{'SlushPool': 0.85265381, 'other': 2.63919745098572}"
2012-11-14,"{'SlushPool': 3.47182264, 'other': 0.0682669352316798}"
2012-11-15,"{'BitMinter': 1.01155176, 'SlushPool': 6.97164125, 'other': 6.8558834044522}"
2012-11-16,"{'SlushPool': 4.75416656, 'other': 6.10003209001618}"
2012-11-17,"{'SlushPool': 3.32601575, 'other': 8.8820648129168}"
2012-11-18,"{'SlushPool': 5.64711095, 'other': 3}"
2012-11-19,"{'SlushPool': 1.18919931, 'other': 4}"
2012-11-20,"{'SlushPool': 4.564742, 'other': 1.73812868057268}"
2012-11-21,"{'BitMinter': 1.01779563, 'SlushPool': 3.14168538, 'other': 9.80386333098265}"
2012-11-22,"{'SlushPool': 9.67571255, 'other': 10.9595241889405}"
2012-11-23,"{'SlushPool': 3.66358644, 'other': 0.68}"
2012-11-24,"{'SlushPool': 5.37373585, 'other': 6.42}"
2012-11-25,"{'SlushPool': 6.24465436, 'other': 9.23237490818779}"
2012-11-26,"{'SlushPool': 2.8322091, 'other': 55.4171280699425}"
2012-11-27,"{'BitMinter': 0.10493343, 'SlushPool': 2.66527992, 'other': 3.83153697149285}"
2012-11-28,"{'BitMinter': 1.00116874, 'SlushPool': 4.69684591, 'other': 0.579915809853217}"
2012-11-29,"{'SlushPool': 0.72723858, 'other': 16.97453521}"
2012-11-30,"{'SlushPool': 3.56892463, 'other': 1.8087228}"
2012-12-01,{'SlushPool': 2.01951043}
2012-12-02,{'other': 1.24}
2012-12-03,{'SlushPool': 3.00865659}
2012-12-04,"{'SlushPool': 2.06836557, 'other': 12.8830579444876}"
2012-12-05,{'other': 0.08045878}
2012-12-06,"{'SlushPool': 0.20019894, 'other': 1.1}"
2012-12-07,"{'SlushPool': 0.12899724, 'other': 0.4444828698226}"
2012-12-08,{'SlushPool': 2.00092376}
2012-12-09,"{'SlushPool': 2.04484909, 'other': 1.55788191}"
2012-12-10,"{'BitMinter': 0.1086702, 'SlushPool': 0.12135808}"
2012-12-11,"{'SlushPool': 2.08623821, 'other': 1.939864306337}"
2012-12-12,{'BitMinter': 0.11744625}
2012-12-13,{'SlushPool': 2.24023892}
2012-12-14,{'other': 0.579196574462038}
2012-12-15,"{'SlushPool': 2.05251119, 'other': 2.23008910358723}"
2012-12-16,"{'BitMinter': 0.11916421, 'SlushPool': 5.0272845, 'other': 0.186211103099768}"
2012-12-17,"{'BitMinter': 0.10447506, 'other': 0.0319619838241168}"
2012-12-18,"{'BitMinter': 0.21282583, 'SlushPool': 2.05476883, 'other': 2.82897014750817}"
2012-12-19,{'other': 2.80481929144937}
2012-12-20,"{'SlushPool': 0.20105893, 'other': 40.7859202845891}"
2012-12-21,{'BitMinter': 0.02002252}
2012-12-22,"{'SlushPool': 2.21451291, 'other': 0.68950762596236}"
2012-12-23,"{'SlushPool': 10.01123074, 'other': 11.490751970586}"
2012-12-24,{'SlushPool': 2.00496284}
2012-12-25,"{'SlushPool': 2.02536118, 'other': 1.43484905685389}"
2012-12-26,{'other': 11.9}
