t,mining_miners_unspent_supply
2010-01-01,1493402.74
2010-01-02,1499702.74
2010-01-03,1509002.74
2010-01-04,1514052.74
2010-01-05,1523952.74
2010-01-06,1532102.74
2010-01-07,1539802.74
2010-01-08,1547452.74
2010-01-09,1555002.74
2010-01-10,1564502.74
2010-01-11,1572452.74
2010-01-12,1569653.0
2010-01-13,1577803.0
2010-01-14,1584553.0
2010-01-15,1591403.0
2010-01-16,1597403.0
2010-01-17,1603953.0
2010-01-18,1610153.0
2010-01-19,1616353.0
2010-01-20,1624253.0
2010-01-21,1632803.0
2010-01-22,1639203.0
2010-01-23,1647203.0
2010-01-24,1654853.0
2010-01-25,1662603.0
2010-01-26,1671703.0
2010-01-27,1678903.0
2010-01-28,1686703.0
2010-01-29,1695603.0
2010-01-30,1704403.0
2010-01-31,1711853.0
2010-02-01,1720603.0
2010-02-02,1726803.0
2010-02-03,1740003.0
2010-02-04,1749453.0
2010-02-05,1748453.0
2010-02-06,1756603.0
2010-02-07,1767003.0
2010-02-08,1771053.0
2010-02-09,1760503.44
2010-02-10,1738653.44
2010-02-11,1743403.44
2010-02-12,1750703.44
2010-02-13,1758153.44
2010-02-14,1766103.44
2010-02-15,1770403.44
2010-02-16,1779403.44
2010-02-17,1790353.44
2010-02-18,1797903.44
2010-02-19,1807453.44
2010-02-20,1817203.44
2010-02-21,1822103.44
2010-02-22,1821803.44
2010-02-23,1834253.44
2010-02-24,1837553.44
2010-02-25,1838153.44
2010-02-26,1845853.44
2010-02-27,1854003.44
2010-02-28,1856553.44
2010-03-01,1864703.44
2010-03-02,1872103.44
2010-03-03,1874553.44
2010-03-04,1864453.44
2010-03-05,1872953.44
2010-03-06,1877453.44
2010-03-07,1880703.44
2010-03-08,1877953.44
2010-03-09,1881203.44
2010-03-10,1887353.44
2010-03-11,1890803.44
2010-03-12,1896503.44
2010-03-13,1902353.44
2010-03-14,1908253.44
2010-03-15,1914903.44
2010-03-16,1920003.44
2010-03-17,1925553.44
2010-03-18,1928703.44
2010-03-19,1930053.44
2010-03-20,1936353.44
2010-03-21,1945153.44
2010-03-22,1952153.44
2010-03-23,1958803.44
2010-03-24,1966003.44
2010-03-25,1958253.44
2010-03-26,1964403.44
2010-03-27,1972253.44
2010-03-28,1980803.44
2010-03-29,1987203.44
2010-03-30,1997403.44
2010-03-31,2006753.44
2010-04-01,2013753.44
2010-04-02,2020553.44
2010-04-03,2027403.44
2010-04-04,2032503.7
2010-04-05,2033903.7
2010-04-06,2037203.7
2010-04-07,2042003.7
2010-04-08,2050153.7
2010-04-09,2055453.7
2010-04-10,2055053.7
2010-04-11,2059453.7
2010-04-12,2064103.7
2010-04-13,2071803.7
2010-04-14,2076703.7
2010-04-15,2055953.7
2010-04-16,2056203.7
2010-04-17,2064153.7
2010-04-18,2070903.7
2010-04-19,2068803.7
2010-04-20,2069103.7
2010-04-21,2073153.7
2010-04-22,2079303.7
2010-04-23,2085053.7
2010-04-24,2089053.7
2010-04-25,2089203.7
2010-04-26,2093903.7
2010-04-27,2100403.7
2010-04-28,2104303.7
2010-04-29,2109603.7
2010-04-30,2115803.7
2010-05-01,2122103.7
2010-05-02,2128003.7
2010-05-03,2131253.7
2010-05-04,2130103.7
2010-05-05,2131003.7
2010-05-06,2124803.7
2010-05-07,2127603.7
2010-05-08,2121853.44
2010-05-09,2126053.44
2010-05-10,2125303.44
2010-05-11,2129203.44
2010-05-12,2130453.44
2010-05-13,2132053.44
2010-05-14,2133510.15
2010-05-15,2135362.79
2010-05-16,2138960.15
2010-05-17,2140410.15
2010-05-18,2143710.15
2010-05-19,2146910.15
2010-05-20,2154010.15
2010-05-21,2156860.15
2010-05-22,2160604.43
2010-05-23,2163504.43
2010-05-24,2167704.43
2010-05-25,2172754.43
2010-05-26,2177104.43
2010-05-27,2179354.43
2010-05-28,2186704.43
2010-05-29,2189754.43
2010-05-30,2193454.43
2010-05-31,2196004.43
2010-06-01,2198104.43
2010-06-02,2202204.43
2010-06-03,2201004.43
2010-06-04,2204204.43
2010-06-05,2207604.43
2010-06-06,2211154.43
2010-06-07,2205654.43
2010-06-08,2207304.43
2010-06-09,2210854.43
2010-06-10,2215354.43
2010-06-11,2218554.43
2010-06-12,2221154.43
2010-06-13,2224154.43
