t,addresses_non_zero_count
2010-01-01,29959
2010-01-02,30085
2010-01-03,30271
2010-01-04,30372
2010-01-05,30570
2010-01-06,30733
2010-01-07,30887
2010-01-08,31040
2010-01-09,31191
2010-01-10,31381
2010-01-11,31540
2010-01-12,31485
2010-01-13,31651
2010-01-14,31787
2010-01-15,31923
2010-01-16,32043
2010-01-17,32174
2010-01-18,32300
2010-01-19,32424
2010-01-20,32582
2010-01-21,32754
2010-01-22,32884
2010-01-23,33044
2010-01-24,33197
2010-01-25,33355
2010-01-26,33536
2010-01-27,33680
2010-01-28,33836
2010-01-29,34015
2010-01-30,34194
2010-01-31,34342
2010-02-01,34517
2010-02-02,34641
2010-02-03,34905
2010-02-04,35097
2010-02-05,35080
2010-02-06,35244
2010-02-07,35456
2010-02-08,35538
2010-02-09,35331
2010-02-10,34894
2010-02-11,34989
2010-02-12,35137
2010-02-13,35286
2010-02-14,35445
2010-02-15,35537
2010-02-16,35720
2010-02-17,35940
2010-02-18,36093
2010-02-19,36286
2010-02-20,36482
2010-02-21,36581
2010-02-22,36577
2010-02-23,36827
2010-02-24,36893
2010-02-25,36906
2010-02-26,37060
2010-02-27,37223
2010-02-28,37274
2010-03-01,37438
2010-03-02,37587
2010-03-03,37635
2010-03-04,37434
2010-03-05,37605
2010-03-06,37691
2010-03-07,37757
2010-03-08,37705
2010-03-09,37771
2010-03-10,37899
2010-03-11,37969
2010-03-12,38083
2010-03-13,38201
2010-03-14,38318
2010-03-15,38456
2010-03-16,38560
2010-03-17,38673
2010-03-18,38740
2010-03-19,38772
2010-03-20,38905
2010-03-21,39081
2010-03-22,39222
2010-03-23,39358
2010-03-24,39504
2010-03-25,39357
2010-03-26,39481
2010-03-27,39638
2010-03-28,39808
2010-03-29,39936
2010-03-30,40141
2010-03-31,40329
2010-04-01,40471
2010-04-02,40607
2010-04-03,40747
2010-04-04,40852
2010-04-05,40890
2010-04-06,40958
2010-04-07,41055
2010-04-08,41223
2010-04-09,41346
2010-04-10,41356
2010-04-11,41441
2010-04-12,41527
2010-04-13,41686
2010-04-14,41794
2010-04-15,41385
2010-04-16,41395
2010-04-17,41558
2010-04-18,41710
2010-04-19,41675
2010-04-20,41693
2010-04-21,41784
2010-04-22,41914
2010-04-23,42030
2010-04-24,42114
2010-04-25,42125
2010-04-26,42230
2010-04-27,42373
2010-04-28,42454
2010-04-29,42566
2010-04-30,42688
2010-05-01,42816
2010-05-02,42937
2010-05-03,42996
2010-05-04,42979
2010-05-05,42989
2010-05-06,42871
2010-05-07,42925
2010-05-08,42816
2010-05-09,42892
2010-05-10,42883
2010-05-11,42964
2010-05-12,42985
2010-05-13,43023
2010-05-14,43060
2010-05-15,43100
2010-05-16,43173
2010-05-17,43196
2010-05-18,43267
2010-05-19,43341
2010-05-20,43490
2010-05-21,43549
2010-05-22,43627
2010-05-23,43741
2010-05-24,43856
2010-05-25,43977
2010-05-26,44095
2010-05-27,44168
2010-05-28,44343
2010-05-29,44426
2010-05-30,44533
2010-05-31,44620
2010-06-01,44688
2010-06-02,44794
2010-06-03,44803
2010-06-04,44902
2010-06-05,44986
2010-06-06,45085
2010-06-07,44990
2010-06-08,45074
2010-06-09,45140
2010-06-10,45259
2010-06-11,45357
2010-06-12,45442
2010-06-13,45531
2010-06-14,45559
2010-06-15,45692
2010-06-16,45766
2010-06-17,45876
2010-06-18,45956
2010-06-19,45978
2010-06-20,46109
2010-06-21,46216
2010-06-22,46293
2010-06-23,46427
2010-06-24,46507
2010-06-25,46644
2010-06-26,46773
2010-06-27,46876
2010-06-28,46968
2010-06-29,46997
2010-06-30,47011
2010-07-01,47099
2010-07-02,47131
2010-07-03,47246
2010-07-04,47194
2010-07-05,47228
2010-07-06,47338
2010-07-07,47364
2010-07-08,47465
2010-07-09,47605
2010-07-10,47653
2010-07-11,47830
2010-07-12,49460
2010-07-13,50353
