t,derivatives_futures_open_interest_perpetual_sum
2020-10-18,148923.30363517444
2020-10-19,158094.68780410767
2020-10-20,162502.99890303204
2020-10-21,156671.48885236742
2020-10-22,160151.88444045527
2020-10-23,164864.3012658975
2020-10-24,169437.20044311683
2020-10-25,164153.41289425766
2020-10-26,164167.92789897192
2020-10-27,164251.13768985463
2020-10-28,153481.07762971273
2020-10-29,162853.15585988833
2020-10-30,160424.29670927272
2020-10-31,166461.27420981
2020-11-01,165819.67601996378
2020-11-02,161411.5557467399
2020-11-03,161130.74053090316
2020-11-04,163143.0422702741
2020-11-05,154683.69150881516
2020-11-06,153469.6784830856
2020-11-07,145392.50039228747
2020-11-08,149176.74454595696
2020-11-09,149212.28066176546
2020-11-10,150044.05158807052
2020-11-11,160587.489411029
2020-11-12,164341.25150271505
2020-11-13,162133.83129563782
2020-11-14,157259.53931697572
2020-11-15,159175.60446744272
2020-11-16,165264.1909751356
2020-11-17,160331.3915963049
