t,derivatives_futures_volume_daily_perpetual_sum
2020-10-18,237868.86835322776
2020-10-19,578504.0211200309
2020-10-20,785598.9243607369
2020-10-21,1482589.1908321818
2020-10-22,879782.8842267102
2020-10-23,578836.9435126132
2020-10-24,422417.72641415644
2020-10-25,531646.3022683164
2020-10-26,793470.4733468652
2020-10-27,995577.8193849082
2020-10-28,1174399.2109018404
2020-10-29,888532.3753122935
2020-10-30,887573.9820586718
2020-10-31,854781.003590328
2020-11-01,494495.29441366415
2020-11-02,842782.0947011822
2020-11-03,849793.9073506184
2020-11-04,1072409.51575859
2020-11-05,1634793.322256342
2020-11-06,1343306.5289520938
2020-11-07,1150807.1695253078
2020-11-08,728650.7478252013
2020-11-09,1211246.6359361038
2020-11-10,641478.658720161
2020-11-11,750134.7482198679
2020-11-12,1142212.501702767
2020-11-13,753919.6188134545
2020-11-14,654476.9993305193
2020-11-15,521192.3895797856
2020-11-16,854567.7503417725
2020-11-17,1296401.0723299247
