t,o
2010-07-18,"{'1d_1w': 0.102247051996317, '1m_3m': 0.125886683481047, '1w_1m': 0.0816451298987631, '1y_2y': 0.277937825037896, '24h': 0.0129740780146151, '2y_3y': 0, '3m_6m': 0.208908573850321, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.190400657720915, '7y_10y': 0, 'more_10y': 0}"
2010-07-19,"{'1d_1w': 0.0793422088033767, '1m_3m': 0.133210253055587, '1w_1m': 0.0959393276455013, '1y_2y': 0.275961139538766, '24h': 0.0188130187450303, '2y_3y': 0, '3m_6m': 0.208033366165078, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.188700686046536, '7y_10y': 0, 'more_10y': 0}"
2010-07-20,"{'1d_1w': 0.0833600618924915, '1m_3m': 0.135819398982877, '1w_1m': 0.0998761795037854, '1y_2y': 0.277058697643529, '24h': 0.0103934336470557, '2y_3y': 0, '3m_6m': 0.206781019180841, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.186711209149295, '7y_10y': 0, 'more_10y': 0}"
2010-07-21,"{'1d_1w': 0.0730249270948509, '1m_3m': 0.131994406923386, '1w_1m': 0.113084153537589, '1y_2y': 0.276739737647989, '24h': 0.0113218088324892, '2y_3y': 0, '3m_6m': 0.208678020573147, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.185156945390425, '7y_10y': 0, 'more_10y': 0}"
2010-07-22,"{'1d_1w': 0.0497409258873452, '1m_3m': 0.130641327801564, '1w_1m': 0.134933424817188, '1y_2y': 0.276906880698811, '24h': 0.0142949037802535, '2y_3y': 0, '3m_6m': 0.208111819717906, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.185370717296808, '7y_10y': 0, 'more_10y': 0}"
2010-07-23,"{'1d_1w': 0.049993952573967, '1m_3m': 0.128582461046502, '1w_1m': 0.141076776834649, '1y_2y': 0.276732571309495, '24h': 0.00933728426093872, '2y_3y': 0, '3m_6m': 0.209288373245232, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.184988580729091, '7y_10y': 0, 'more_10y': 0}"
2010-07-24,"{'1d_1w': 0.051472286142723, '1m_3m': 0.126985532063379, '1w_1m': 0.142475880935794, '1y_2y': 0.276792658338515, '24h': 0.0138810569166568, '2y_3y': 0, '3m_6m': 0.202569695748652, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.185822889854156, '7y_10y': 0, 'more_10y': 0}"
2010-07-25,"{'1d_1w': 0.0544087750784204, '1m_3m': 0.125000800497099, '1w_1m': 0.144903286575631, '1y_2y': 0.276078634552149, '24h': 0.0121731132744127, '2y_3y': 0, '3m_6m': 0.20110047295885, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.186334917063313, '7y_10y': 0, 'more_10y': 0}"
2010-07-26,"{'1d_1w': 0.0515528272806535, '1m_3m': 0.125930681399856, '1w_1m': 0.143711506903487, '1y_2y': 0.275057060725539, '24h': 0.0232038002686682, '2y_3y': 0, '3m_6m': 0.19708237144803, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.183461751973641, '7y_10y': 0, 'more_10y': 0}"
2010-07-27,"{'1d_1w': 0.0652522359305645, '1m_3m': 0.125028591159513, '1w_1m': 0.147689074058541, '1y_2y': 0.275115148216595, '24h': 0.00831341500540549, '2y_3y': 0, '3m_6m': 0.19659629911744, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.182005236511817, '7y_10y': 0, 'more_10y': 0}"
2010-07-28,"{'1d_1w': 0.0491357767855663, '1m_3m': 0.124965018222934, '1w_1m': 0.149200821987536, '1y_2y': 0.274618123163782, '24h': 0.0240784047109228, '2y_3y': 0, '3m_6m': 0.19524849936264, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.182753355766496, '7y_10y': 0, 'more_10y': 0}"
2010-07-29,"{'1d_1w': 0.0610436009914663, '1m_3m': 0.123512517516444, '1w_1m': 0.155043949184893, '1y_2y': 0.273916520602722, '24h': 0.00716960326268614, '2y_3y': 0, '3m_6m': 0.195643017113109, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.183670791328557, '7y_10y': 0, 'more_10y': 0}"
2010-07-30,"{'1d_1w': 0.058327909320597, '1m_3m': 0.122554434686406, '1w_1m': 0.157796835858633, '1y_2y': 0.272891982385, '24h': 0.00911928400529575, '2y_3y': 0, '3m_6m': 0.195355347804452, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.183954205939494, '7y_10y': 0, 'more_10y': 0}"
2010-07-31,"{'1d_1w': 0.0526634695476369, '1m_3m': 0.123077481040923, '1w_1m': 0.166210053739429, '1y_2y': 0.272028705566836, '24h': 0.00764115366676488, '2y_3y': 0, '3m_6m': 0.19446505404688, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.183914082391408, '7y_10y': 0, 'more_10y': 0}"
2010-08-01,"{'1d_1w': 0.0327896704941077, '1m_3m': 0.124009303324523, '1w_1m': 0.1701228619828, '1y_2y': 0.270945878300594, '24h': 0.0248629311493635, '2y_3y': 0, '3m_6m': 0.193443683749718, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.183825670998773, '7y_10y': 0, 'more_10y': 0}"
2010-08-02,"{'1d_1w': 0.0323849027682201, '1m_3m': 0.123713057705577, '1w_1m': 0.172826998850587, '1y_2y': 0.269912581837049, '24h': 0.0246389373684645, '2y_3y': 0, '3m_6m': 0.191211692704014, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.185311828765967, '7y_10y': 0, 'more_10y': 0}"
2010-08-03,"{'1d_1w': 0.0472609465015603, '1m_3m': 0.125595490970516, '1w_1m': 0.171436083108804, '1y_2y': 0.268924431515125, '24h': 0.0113674216278364, '2y_3y': 0, '3m_6m': 0.188490706954896, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.186924919321142, '7y_10y': 0, 'more_10y': 0}"
2010-08-04,"{'1d_1w': 0.0522121423166177, '1m_3m': 0.124907430306559, '1w_1m': 0.172205839861609, '1y_2y': 0.268720289401224, '24h': 0.00768156377299064, '2y_3y': 0, '3m_6m': 0.18480913706773, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.189463597273148, '7y_10y': 0, 'more_10y': 0}"
2010-08-05,"{'1d_1w': 0.0516220755315856, '1m_3m': 0.129252827492641, '1w_1m': 0.167070626526543, '1y_2y': 0.268822398100303, '24h': 0.0105775257145901, '2y_3y': 0, '3m_6m': 0.183297210198579, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.189357336435635, '7y_10y': 0, 'more_10y': 0}"
2010-08-06,"{'1d_1w': 0.0543817741792769, '1m_3m': 0.129045397698129, '1w_1m': 0.168952895424487, '1y_2y': 0.269080944806788, '24h': 0.00724277360000175, '2y_3y': 0, '3m_6m': 0.182218660884587, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.189077553406608, '7y_10y': 0, 'more_10y': 0}"
2010-08-07,"{'1d_1w': 0.0546124127527153, '1m_3m': 0.129488433425816, '1w_1m': 0.169755087572563, '1y_2y': 0.2706602446146, '24h': 0.00768704728198779, '2y_3y': 0, '3m_6m': 0.179244361161809, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.188552413190388, '7y_10y': 0, 'more_10y': 0}"
2010-08-08,"{'1d_1w': 0.0546638935017786, '1m_3m': 0.129330455405587, '1w_1m': 0.172752944997282, '1y_2y': 0.270702121386631, '24h': 0.00588153970875778, '2y_3y': 0, '3m_6m': 0.177964673335107, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.188704371664735, '7y_10y': 0, 'more_10y': 0}"
2010-08-09,"{'1d_1w': 0.0294620816134995, '1m_3m': 0.129489305779088, '1w_1m': 0.185493445957644, '1y_2y': 0.270396742914832, '24h': 0.0212234094223922, '2y_3y': 0, '3m_6m': 0.168074579735243, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.19586043457718, '7y_10y': 0, 'more_10y': 0}"
2010-08-10,"{'1d_1w': 0.0412079443219893, '1m_3m': 0.128997205558635, '1w_1m': 0.185362795674054, '1y_2y': 0.270166919761661, '24h': 0.00949668773680866, '2y_3y': 0, '3m_6m': 0.168791765104787, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.195976681841946, '7y_10y': 0, 'more_10y': 0}"
2010-08-11,"{'1d_1w': 0.037054404578545, '1m_3m': 0.154128976621845, '1w_1m': 0.160771307420958, '1y_2y': 0.269621600951605, '24h': 0.0160565331001764, '2y_3y': 0, '3m_6m': 0.166192399656517, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.196174777670235, '7y_10y': 0, 'more_10y': 0}"
2010-08-12,"{'1d_1w': 0.0445982248630915, '1m_3m': 0.160918935765557, '1w_1m': 0.156170599396299, '1y_2y': 0.26941265620559, '24h': 0.00772651870972213, '2y_3y': 0, '3m_6m': 0.164797082752357, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.196375982307265, '7y_10y': 0, 'more_10y': 0}"
2010-08-13,"{'1d_1w': 0.043413134397939, '1m_3m': 0.171694164200794, '1w_1m': 0.144840295871102, '1y_2y': 0.269087978026521, '24h': 0.0120052694630452, '2y_3y': 0, '3m_6m': 0.162315728949223, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.196643429091259, '7y_10y': 0, 'more_10y': 0}"
2010-08-14,"{'1d_1w': 0.0493209632709239, '1m_3m': 0.191362841340638, '1w_1m': 0.126545407148357, '1y_2y': 0.268516873798255, '24h': 0.00708234198249721, '2y_3y': 0, '3m_6m': 0.159906442245525, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.197265130213686, '7y_10y': 0, 'more_10y': 0}"
2010-08-15,"{'1d_1w': 0.0507203882289555, '1m_3m': 0.196791820756815, '1w_1m': 0.121222969285579, '1y_2y': 0.267723718597808, '24h': 0.00704161642548809, '2y_3y': 0, '3m_6m': 0.158696033815549, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.197803452889688, '7y_10y': 0, 'more_10y': 0}"
2010-08-16,"{'1d_1w': 0.037270613673383, '1m_3m': 0.19683879269129, '1w_1m': 0.125782227707921, '1y_2y': 0.267116281624997, '24h': 0.0169201072063367, '2y_3y': 0, '3m_6m': 0.150560154199608, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.205511822896348, '7y_10y': 0, 'more_10y': 0}"
2010-08-17,"{'1d_1w': 0.0429830152204521, '1m_3m': 0.199948390471331, '1w_1m': 0.123150769115206, '1y_2y': 0.266608923351931, '24h': 0.0110195999995307, '2y_3y': 0, '3m_6m': 0.149489437154757, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.206799864686677, '7y_10y': 0, 'more_10y': 0}"
2010-08-18,"{'1d_1w': 0.0395764830053146, '1m_3m': 0.203705262076193, '1w_1m': 0.123535008532194, '1y_2y': 0.265762494440247, '24h': 0.0120072144647248, '2y_3y': 0, '3m_6m': 0.148129454743405, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.207284082737807, '7y_10y': 0, 'more_10y': 0}"
2010-08-19,"{'1d_1w': 0.0440619550437808, '1m_3m': 0.19732387795432, '1w_1m': 0.122114622613305, '1y_2y': 0.265311412545627, '24h': 0.00735273108100248, '2y_3y': 0, '3m_6m': 0.155826647423823, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.208008753338028, '7y_10y': 0, 'more_10y': 0}"
2010-08-20,"{'1d_1w': 0.0396323094776596, '1m_3m': 0.198982810322527, '1w_1m': 0.124332295308902, '1y_2y': 0.264642999607876, '24h': 0.00902789769168594, '2y_3y': 0, '3m_6m': 0.153049546951497, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.210332140639738, '7y_10y': 0, 'more_10y': 0}"
2010-08-21,"{'1d_1w': 0.0382383357893053, '1m_3m': 0.201064890381543, '1w_1m': 0.120705260303929, '1y_2y': 0.263875286770049, '24h': 0.0127129405302181, '2y_3y': 0, '3m_6m': 0.150712248073276, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.212691038151566, '7y_10y': 0, 'more_10y': 0}"
2010-08-22,"{'1d_1w': 0.0457068231875695, '1m_3m': 0.202796106750489, '1w_1m': 0.119259076111254, '1y_2y': 0.262985891341022, '24h': 0.00670354286943078, '2y_3y': 0, '3m_6m': 0.148792344909022, '3y_5y': 0, '5y_7y': 0, '6m_12m': 0.213756214831099, '7y_10y': 0, 'more_10y': 0}"
