t,addresses_count
2010-01-01,32745
2010-01-02,32871
2010-01-03,33057
2010-01-04,33240
2010-01-05,33438
2010-01-06,33601
2010-01-07,33755
2010-01-08,33908
2010-01-09,34059
2010-01-10,34249
2010-01-11,34408
2010-01-12,34567
2010-01-13,34733
2010-01-14,34878
2010-01-15,35019
2010-01-16,35145
2010-01-17,35276
2010-01-18,35403
2010-01-19,35527
2010-01-20,35685
2010-01-21,35868
2010-01-22,36003
2010-01-23,36164
2010-01-24,36318
2010-01-25,36533
2010-01-26,36730
2010-01-27,36894
2010-01-28,37071
2010-01-29,37269
2010-01-30,37481
2010-01-31,37647
2010-02-01,37839
2010-02-02,37984
2010-02-03,38254
2010-02-04,38487
2010-02-05,38714
2010-02-06,38908
2010-02-07,39130
2010-02-08,39335
2010-02-09,39545
2010-02-10,39714
2010-02-11,39883
2010-02-12,40070
2010-02-13,40304
2010-02-14,40516
2010-02-15,40699
2010-02-16,40898
2010-02-17,41141
2010-02-18,41352
2010-02-19,41549
2010-02-20,41758
2010-02-21,41983
2010-02-22,42246
2010-02-23,42497
2010-02-24,42670
2010-02-25,42826
2010-02-26,43000
2010-02-27,43172
2010-02-28,43329
2010-03-01,43525
2010-03-02,43714
2010-03-03,43866
2010-03-04,44052
2010-03-05,44224
2010-03-06,44402
2010-03-07,44582
2010-03-08,44710
2010-03-09,44857
2010-03-10,45025
2010-03-11,45159
2010-03-12,45280
2010-03-13,45434
2010-03-14,45559
2010-03-15,45702
2010-03-16,45831
2010-03-17,45969
2010-03-18,46117
2010-03-19,46276
2010-03-20,46478
2010-03-21,46663
2010-03-22,46844
2010-03-23,47056
2010-03-24,47233
2010-03-25,47427
2010-03-26,47626
2010-03-27,47806
2010-03-28,47992
2010-03-29,48188
2010-03-30,48404
2010-03-31,48615
2010-04-01,48783
2010-04-02,48939
2010-04-03,49103
2010-04-04,49276
2010-04-05,49450
2010-04-06,49613
2010-04-07,49811
2010-04-08,50002
2010-04-09,50227
2010-04-10,50515
2010-04-11,50762
2010-04-12,50985
2010-04-13,51178
2010-04-14,51384
2010-04-15,51659
2010-04-16,51878
2010-04-17,52111
2010-04-18,55456
2010-04-19,55709
2010-04-20,55929
2010-04-21,56166
2010-04-22,56345
2010-04-23,56532
2010-04-24,56715
2010-04-25,56887
2010-04-26,57077
2010-04-27,57287
2010-04-28,57486
2010-04-29,57646
2010-04-30,57806
2010-05-01,57998
2010-05-02,58159
2010-05-03,58327
2010-05-04,58476
2010-05-05,58621
2010-05-06,58776
2010-05-07,58914
2010-05-08,59079
2010-05-09,59248
2010-05-10,59384
2010-05-11,59500
2010-05-12,59633
2010-05-13,59774
2010-05-14,59912
2010-05-15,60006
2010-05-16,60123
2010-05-17,60275
2010-05-18,60467
2010-05-19,60660
2010-05-20,60877
2010-05-21,61069
2010-05-22,61278
2010-05-23,61566
2010-05-24,61792
2010-05-25,62025
2010-05-26,62287
2010-05-27,62518
2010-05-28,62783
2010-05-29,63003
2010-05-30,63189
2010-05-31,63368
2010-06-01,63534
2010-06-02,63711
2010-06-03,63919
2010-06-04,64081
2010-06-05,64250
2010-06-06,64429
2010-06-07,64616
2010-06-08,64828
2010-06-09,65038
2010-06-10,65240
2010-06-11,65474
2010-06-12,65667
2010-06-13,65887
2010-06-14,66120
2010-06-15,66375
2010-06-16,66558
2010-06-17,66746
2010-06-18,66920
2010-06-19,67124
2010-06-20,67346
2010-06-21,67589
2010-06-22,67808
2010-06-23,68059
2010-06-24,68281
2010-06-25,68476
2010-06-26,68662
2010-06-27,68873
2010-06-28,69067
2010-06-29,69296
2010-06-30,69540
2010-07-01,69789
2010-07-02,69994
2010-07-03,70238
2010-07-04,70429
2010-07-05,70633
2010-07-06,70821
2010-07-07,71028
2010-07-08,71236
2010-07-09,71489
2010-07-10,71718
2010-07-11,72150
2010-07-12,75473
2010-07-13,77206
2010-07-14,83684
2010-07-15,85192
2010-07-16,86532
2010-07-17,86979
2010-07-18,87446
2010-07-19,88051
2010-07-20,88725
2010-07-21,89194
2010-07-22,89628
2010-07-23,90062
2010-07-24,90768
2010-07-25,92615
2010-07-26,93076
2010-07-27,93547
2010-07-28,93939
2010-07-29,94326
2010-07-30,94674
2010-07-31,94991
2010-08-01,95388
2010-08-02,95778
2010-08-03,96431
2010-08-04,96891
2010-08-05,97486
2010-08-06,97866
2010-08-07,98141
2010-08-08,98550
2010-08-09,99016
2010-08-10,99357
2010-08-11,99763
2010-08-12,100178
2010-08-13,100744
2010-08-14,101152
2010-08-15,101430
2010-08-16,101895
2010-08-17,102226
2010-08-18,102641
2010-08-19,102957
2010-08-20,103360
2010-08-21,103700
2010-08-22,104046
2010-08-23,104425
2010-08-24,104821
2010-08-25,105176
2010-08-26,105523
2010-08-27,105823
2010-08-28,106173
2010-08-29,106437
2010-08-30,106760
2010-08-31,107171
2010-09-01,107560
2010-09-02,107865
2010-09-03,108204
2010-09-04,108479
2010-09-05,108802
2010-09-06,109079
2010-09-07,109334
